Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7065,Saint-Vincent,4454,32,56,-24,163,148,15,34,36,-2,0,-11,-22,4432,2315,4416,1.9,1,16,2019
7066,Sarre,4810,30,40,-10,232,194,38,23,40,-17,0,-4,7,4817,2207,4782,2.2,5,35,2019
7067,Torgnon,577,3,10,-7,8,11,-3,2,1,1,0,-1,-10,567,288,567,2,0,0,2019
7068,Valgrisenche,193,0,1,-1,5,2,3,1,0,1,0,0,3,196,118,196,1.6,0,0,2019
7069,Valpelline,605,5,6,-1,37,26,11,7,0,7,0,-4,13,618,305,617,2,1,1,2019
7070,Valsavarenche,177,1,1,0,0,6,-6,6,0,6,0,-2,-2,175,107,175,1.6,0,0,2019
7071,Valtournenche,2277,21,25,-4,50,76,-26,18,13,5,0,3,-22,2255,1162,2241,1.9,4,14,2019
7072,Verrayes,1279,4,18,-14,40,45,-5,3,4,-1,0,5,-15,1264,622,1264,2,0,0,2019
7073,Verrès,2585,20,31,-11,105,84,21,24,21,3,0,-21,-8,2577,1267,2550,2,4,27,2019
7074,Villeneuve,1299,6,16,-10,59,73,-14,9,5,4,0,-20,-40,1259,589,1240,2.1,1,19,2019
7001,Allein,210,0,7,-7,13,7,6,1,1,0,0,-1,-2,208,117,208,1.8,0,0,2020
7002,Antey-Saint-André,565,2,5,-3,17,23,-6,2,0,2,0,-12,-19,546,278,542,2,2,4,2020
7003,Aosta,33916,186,556,-370,935,901,34,117,120,-3,0,-54,-393,33523,16572,33202,2,35,321,2020
7004,Arnad,1245,12,19,-7,28,33,-5,8,4,4,0,-10,-18,1227,592,1213,2,1,14,2020
7005,Arvier,870,3,12,-9,32,29,3,3,8,-5,0,-7,-18,852,413,852,2.1,0,0,2020
7006,Avise,306,1,2,-1,3,7,-4,0,0,0,0,-3,-8,298,140,298,2.1,0,0,2020
7007,Ayas,1393,14,16,-2,39,26,13,4,10,-6,0,1,6,1399,683,1399,2,0,0,2020
7008,Aymavilles,2104,16,21,-5,77,72,5,6,12,-6,0,0,-6,2098,975,2093,2.2,1,5,2020
7009,Bard,122,1,2,-1,3,10,-7,0,0,0,0,-2,-10,112,57,112,2,0,0,2020
7010,Bionaz,225,0,6,-6,4,2,2,0,0,0,0,-3,-7,218,115,218,1.9,0,0,2020
7011,Brissogne,948,10,7,3,30,37,-7,1,1,0,0,-2,-6,942,413,915,2.2,2,27,2020
7012,Brusson,883,4,15,-11,28,23,5,7,0,7,0,-21,-20,863,423,846,2,3,17,2020
7013,Challand-Saint-Anselme,758,6,6,0,28,21,7,0,2,-2,0,-27,-22,736,351,731,2.1,1,5,2020
7014,Challand-Saint-Victor,548,2,10,-8,24,10,14,2,3,-1,0,-17,-12,536,280,536,1.9,0,0,2020
7015,Chambave,919,7,19,-12,27,39,-12,4,12,-8,0,-15,-47,872,442,872,2,0,0,2020
7016,Chamois,98,0,0,0,14,2,12,0,0,0,0,-2,10,108,71,108,1.5,0,0,2020
7017,Champdepraz,714,3,10,-7,36,38,-2,2,1,1,0,-6,-14,700,347,700,2,0,0,2020
7018,Champorcher,394,1,4,-3,14,17,-3,2,0,2,0,-10,-14,380,225,380,1.7,0,0,2020
7019,Charvensod,2338,16,29,-13,116,98,18,4,4,0,0,34,39,2377,1121,2375,2.1,1,2,2020
7020,Châtillon,4524,27,60,-33,117,160,-43,17,20,-3,0,5,-74,4450,2176,4396,2,7,54,2020
7021,Cogne,1377,7,25,-18,23,23,0,5,0,5,0,-21,-34,1343,714,1340,1.9,1,3,2020
7022,Courmayeur,2761,15,32,-17,106,119,-13,20,8,12,0,-9,-27,2734,1444,2733,1.9,1,1,2020
7023,Donnas,2448,11,50,-39,71,68,3,9,9,0,0,-7,-43,2405,1164,2387,2,2,18,2020
