comune_key,Profilo_Zona,MAPE,RMSE,Impatto_Meteo,Impatto_Scenario,Impatto_Punto_t_9,Impatto_Trend_t_9,Worst_Date,Worst_Day_Real_kWh,Worst_Day_Pred_kWh
roisan,Standard/Fondovalle,16.277043316607447,18486.066489386878,26.0178019995452,31.78685010827369,15.816341246160787,19.134063801339313,2025-09-01,55213,104721.36438564226
emarese,Standard/Fondovalle,16.200242677385646,5446.878826212541,20.315234849593168,21.800228186442673,19.1137164334798,21.86613568850179,2025-09-01,15605,30604.278686479087
rhemes saint georges,Hub Turistico,16.10546269303004,10557.469366452662,17.09839760936788,20.895818115724,19.331073919763973,27.317680459033916,2025-09-01,33470,57847.93690017249
morgex,Standard/Fondovalle,15.843542037222784,181808.5461521026,21.734298667848233,23.426251335717414,20.63558049129222,20.262420377733356,2025-02-01,855066,1194312.9007055287
gignod,Standard/Fondovalle,15.780676172464815,11027.997595776143,25.368125769125545,22.181499155346035,17.194174222234228,21.454985582247023,2025-09-01,48781,70011.79288647398
hone,Standard/Fondovalle,15.147655868901104,21928.23992317505,26.17449384723988,21.929157836484777,20.882243300603683,14.963917007872904,2025-09-01,86678,136294.31849876593
pontey,Standard/Fondovalle,14.564327314043727,19949.77187363693,21.477885794968905,31.167010882976218,19.666827267989785,18.50311174963686,2025-07-01,122496,91667.10171330754
ollomont,Standard/Fondovalle,14.040229717447287,5919.405649199321,26.581295390566947,17.656659243523904,21.604142394626308,21.03945019352714,2025-09-01,20058,35207.35479928241
champdepraz,Standard/Fondovalle,13.83426485142323,14695.474121859648,21.7429678332625,20.214802750846808,25.746131700863273,20.619959374390795,2025-09-01,48180,89634.16152866872
saint oyen,Standard/Fondovalle,12.953083360770615,5285.876619378721,20.113100019755624,14.47503965175235,28.966236808165128,20.82639373990473,2025-09-01,25247,36890.96781003399
valsavarenche,Hub Turistico,12.805029084029483,7470.972345088448,18.325791251745144,20.819120935065285,24.27323000297559,21.50521459534102,2025-04-01,37745,51572.62221480084
chambave,Standard/Fondovalle,12.797876218991178,18767.343701648406,18.480186563738872,21.308489012481456,18.52288183857054,25.885853225340124,2025-09-01,105413,148210.24875175153
aymavilles,Standard/Fondovalle,12.443097674327738,38462.72909135757,20.507576782174652,31.77341525445867,19.21729268966801,18.16459443366903,2025-09-01,165722,264287.26320565405
perloz,Standard/Fondovalle,12.364945919386818,12087.127154779386,25.595641584560095,16.40390696651398,21.55382326686308,24.588327800337176,2025-01-01,104022,86228.39646501241
fontainemore,Hub Turistico,12.19071892711043,6842.152148241958,21.52391298971591,18.78867416894871,18.41731836266126,24.46980284721667,2025-09-01,33542,47999.263379963544
montjovet,Standard/Fondovalle,12.152238258009525,30390.63720383788,27.729362241443393,24.523441710688815,17.706580517105415,20.335430781697095,2025-09-01,118587,198542.78477075358
issime,Standard/Fondovalle,12.111289353030411,9539.309680991551,22.122153518157106,24.670584323736353,19.038955020851606,22.031597678668728,2025-09-01,41567,64384.565438048165
courmayeur,Standard/Fondovalle,12.027989474754682,316695.82195080037,22.64178558711075,20.26108329887336,22.561275455971842,22.156939017585746,2025-01-01,3297486,3917019.199953917
charvensod,Standard/Fondovalle,11.516144759908002,43343.61976177291,20.475261447927657,26.385734654955023,18.887344896340487,19.374404098220733,2025-09-01,175694,298273.7934583634
sarre,Standard/Fondovalle,11.42465136805096,67478.80495686422,19.335412485078763,26.958237770620897,19.408472764335865,22.622821485956838,2025-09-01,295231,478964.9116416433
chamois,Standard/Fondovalle,11.26054891098872,22142.59335646328,17.875591158599097,24.576292600539055,25.19847636162873,18.894326966590473,2025-01-01,294426,343919.03719050006
fenis,Standard/Fondovalle,11.060561180692885,26632.78409284151,19.001187053002074,26.150457135623483,25.825385357529292,17.297894788070185,2025-09-01,125345,193137.36804250308
cogne,Standard/Fondovalle,10.92439512222795,99209.69032627698,26.448840463120582,23.13831471298965,14.76147476491669,18.008126903096315,2025-07-01,652474,400068.9511047171
nus,Standard/Fondovalle,10.720828580342888,41275.60763957991,28.9044280675095,24.876510658022454,18.096463637961826,16.159033930208846,2025-09-01,161883,283278.181598776
arvier,Standard/Fondovalle,10.672906347760422,16660.280743571486,22.458381623544284,21.002364169750823,20.6716699681459,22.85794951904917,2025-09-01,80184,125512.56850737405
introd,Standard/Fondovalle,10.670340834006005,11342.854038104428,28.438207822793995,23.15559853826673,19.932349953393857,17.860647409808262,2025-09-01,58133,87341.08368178093
verrayes,Standard/Fondovalle,10.332817910956907,18496.355713227764,19.559288378159664,20.753309778178775,23.52120685503948,23.485712427916344,2025-09-01,118876,153091.66058225385
jovencan,Standard/Fondovalle,10.181035741758949,12725.275673238728,21.385175947446058,32.19939579810055,18.159652604885213,17.538213728477672,2025-09-01,67793,91465.54427980691
brusson,Standard/Fondovalle,10.158623792245113,31267.96381061902,24.134246382574926,26.257746536154773,23.99183280411114,14.045813153408508,2025-09-01,162015,238715.86306465138
oyace,Standard/Fondovalle,10.092738470739588,2814.3767622978394,29.911087114661054,0.4503477458621374,30.952229092943195,24.01870312078243,2025-09-01,17668,23842.816239988977
villeneuve,Standard/Fondovalle,9.990627743838353,21572.953825167926,29.160170013075476,22.894260470688753,22.232049367934984,18.61233728954745,2025-01-01,266735,231201.03974331834
antey saint andre,Standard/Fondovalle,9.7223369035205085,17714.848306324526,21.226897792393043,27.232300283243248,18.441625587761024,15.46968325303514,2025-09-01,98546,141896.16943384017
challand saint anselme,Standard/Fondovalle,9.52286874573197,12308.320204868956,24.71795984094325,23.62481351411042,18.469343758854677,19.157782520438275,2025-09-01,68941,101696.66224317231
saint christophe,Standard/Fondovalle,9.376574191092386,36658.51151778391,17.338196203247918,26.56951716444446,15.508435503229363,26.543450137647618,2025-03-01,315812,392543.34473304125
pontboset,Standard/Fondovalle,9.285423557309063,2975.9624517840334,17.411958312798237,25.011294239624874,20.523768610945663,20.617978007434065,2025-09-01,14415,23086.37110599422
rhemes notre dame,Standard/Fondovalle,9.076611517673333,8140.988002498781,25.969255650462387,19.69727408384105,20.03746016240328,21.220510135279646,2025-01-01,126358,143929.7543432051
donnas,Standard/Fondovalle,9.066561434464962,30585.433969822465,22.715095619668016,24.775123500228922,19.653038388450238,18.48160678595819,2025-09-01,203943,279800.0891777319
saint nicolas,Standard/Fondovalle,8.828544504889596,6686.165330990902,22.146490149177637,22.203988802222767,23.083854110598022,19.75289441431262,2025-09-01,44127,61088.40762262177
quart,Standard/Fondovalle,8.752902600989671,73821.33312133893,22.695778902470853,28.01614499380571,16.857732115668004,18.878042947718434,2025-09-01,400132,608789.4704132207
issogne,Standard/Fondovalle,8.607733341017779,18189.29654184279,24.80198628927546,18.709587639910513,22.805954387813273,21.84862309152018,2025-09-01,148843,183445.04030046935
gressan,Standard/Fondovalle,8.544495955155764,83435.79016700314,25.568170258992488,19.950934687154515,23.430042510055504,16.98049415935972,2025-09-01,485529,657801.3024642937
ayas,Standard/Fondovalle,8.519822723377496,116801.93272987165,23.098810189630754,20.341694888214864,22.45577132186904,18.287069184466706,2025-03-01,1601645,1833759.1953103514
gressoney la trinite,Standard/Fondovalle,8.457904897422399,62115.783891296625,21.319844154094454,26.05601277261423,18.447874917000423,24.13608170036129,2025-03-01,912370,1033647.7620726658
etroubles,Standard/Fondovalle,8.421173051099547,10207.602307626024,21.78353160920941,20.80656596316021,18.42894417428937,19.171055788582375,2025-09-01,68646,93246.47235643468
pollein,Standard/Fondovalle,8.303850322818777,49933.43845966504,20.96007329311389,22.97229704603124,20.84649571311118,21.511475731562957,2025-01-01,484079,367848.8944366089
saint vincent,Standard/Fondovalle,8.296329484014302,123426.37529270836,19.820979571133314,25.34216799247931,19.233362829419264,20.34614358455721,2025-09-01,1137935,1378664.2444540642
saint rhemy en bosses,Hub Turistico,8.05931125203598,19285.21675122459,22.650484122478122,28.53749003967327,22.331502825831635,17.23869742586479,2025-01-01,321136,286326.83615046024
valtournenche,Standard/Fondovalle,7.826891466966146,165881.64780590357,24.843285997780768,29.082478314592517,18.213429756590806,15.869119084413022,2025-04-01,2416713,2785322.098488409
pre saint didier,Standard/Fondovalle,7.630716616143105,22032.186503922236,23.371533772782414,25.80411377841816,20.96520438732947,15.614501558020931,2025-09-01,175919,228938.40686010657
champorcher,Standard/Fondovalle,7.526664832333604,14319.892346443461,23.844048006790285,22.069873635931305,20.836485091461753,19.817130838315997,2025-09-01,100787,128185.88383955
arnad,Standard/Fondovalle,7.379129969021928,27249.48285265982,22.607405669502587,27.103185192027233,19.743332034776028,17.60853937891439,2025-03-01,348883,399748.8530599381
saint pierre,Standard/Fondovalle,7.2222181652594735,42143.07379271625,23.508484864919055,26.546814429224494,20.48460122969629,19.012224551517097,2025-09-01,296120,413018.0038487303
saint marcel,Standard/Fondovalle,7.148202150088624,26163.35576917277,20.91760659233812,20.097611459962266,23.232675685854474,26.38595857426536,2025-09-01,186113,235773.5005683365
la salle,Standard/Fondovalle,7.054615960311959,46530.85583886772,23.244418644684036,27.24055260371561,19.991316963217315,21.57617589311281,2025-09-01,268470,404317.99572992104
aosta,Standard/Fondovalle,5.8331905086366485,469455.5602735043,20.739607629278204,22.53643477624745,25.61378124981957,17.45964787736128,2025-09-01,5314566,6195977.490127009
brissogne,Standard/Fondovalle,4.200611455513988,26422.642662328304,22.382032270369898,17.73924435701792,22.565456535686295,21.11394880173946,2025-07-01,546636,497064.827285644
