comune_key,date,assigned_model,beta_mixed,beta_gamm,beta_prophet,model_beta
aymavilles,2025-06-01,Mixed,0.06223761797969346,0.11673661689330313,NA,0.06223761797969346
aymavilles,2025-07-01,Mixed,0.06223761797969346,0.15649529297818932,NA,0.06223761797969346
aymavilles,2025-08-01,Mixed,0.06223761797969346,0.16666414455964446,NA,0.06223761797969346
aymavilles,2025-09-01,Mixed,0.06223761797969346,0.1002163232139429,NA,0.06223761797969346
bard,2025-01-01,GAMM,0.06416964093732962,0.12478336046583469,NA,0.12478336046583469
bard,2025-02-01,GAMM,0.06416964093732962,0.12668752515194634,NA,0.12668752515194634
bard,2025-03-01,GAMM,0.06416964093732962,0.11368461784494896,NA,0.11368461784494896
bard,2025-04-01,GAMM,0.06416964093732962,0.12508721940363413,NA,0.12508721940363413
bard,2025-05-01,GAMM,0.06416964093732962,0.14019410227306572,NA,0.14019410227306572
bard,2025-06-01,GAMM,0.06416964093732962,0.14116106837010722,NA,0.14116106837010722
bard,2025-07-01,GAMM,0.06416964093732962,0.15994890219923139,NA,0.15994890219923139
bard,2025-08-01,GAMM,0.06416964093732962,0.1670913147023839,NA,0.1670913147023839
bard,2025-09-01,GAMM,0.06416964093732962,0.12619090343542755,NA,0.12619090343542755
brissogne,2025-01-01,Mixed,0.06492708448673729,0.05425320237264241,NA,0.06492708448673729
brissogne,2025-02-01,Mixed,0.06492708448673729,0.05339643558383135,NA,0.06492708448673729
brissogne,2025-03-01,Mixed,0.06492708448673729,0.04981977554772796,NA,0.06492708448673729
brissogne,2025-04-01,Mixed,0.06492708448673729,0.04617745883262875,NA,0.06492708448673729
brissogne,2025-05-01,Mixed,0.06492708448673729,0.0446402057827153,NA,0.06492708448673729
brissogne,2025-06-01,Mixed,0.06492708448673729,0.053702440520078935,NA,0.06492708448673729
brissogne,2025-07-01,Mixed,0.06492708448673729,0.05855486698882329,NA,0.06492708448673729
brissogne,2025-08-01,Mixed,0.06492708448673729,0.057610213297352504,NA,0.06492708448673729
brissogne,2025-09-01,Mixed,0.06492708448673729,0.052751252467707156,NA,0.06492708448673729
brusson,2025-01-01,Prophet,0.08208686669119503,0.18409172956078265,0.02307765545193696,0.02307765545193696
brusson,2025-02-01,Prophet,0.08208686669119503,0.18134761751155437,0.023079579210720902,0.023079579210720902
brusson,2025-03-01,Prophet,0.08208686669119503,0.18424746487672014,0.023074980857791028,0.023074980857791028
brusson,2025-04-01,Prophet,0.08208686669119503,0.15750617685778354,0.023059442406004146,0.023059442406004146
brusson,2025-05-01,Prophet,0.08208686669119503,0.16915844346451064,0.023065183682014503,0.023065183682014503
brusson,2025-06-01,Prophet,0.08208686669119503,0.1834565652183894,0.023078355690487464,0.023078355690487464
brusson,2025-07-01,Prophet,0.08208686669119503,0.17475075586239588,0.023081722468919243,0.023081722468919243
brusson,2025-08-01,Prophet,0.08208686669119503,0.1743057503503499,0.02308180979428713,0.02308180979428713
brusson,2025-09-01,Prophet,0.08208686669119503,0.18337917817800972,0.023073838614431578,0.023073838614431578
challand saint anselme,2025-01-01,Prophet,0.05742481433737819,0.13054779396062416,0.011338178589705462,0.011338178589705462
challand saint anselme,2025-02-01,Prophet,0.05742481433737819,0.1207923616218132,0.011334253430202034,0.011334253430202034
challand saint anselme,2025-03-01,Prophet,0.05742481433737819,0.09964980616149109,0.011322790105893403,0.011322790105893403
challand saint anselme,2025-04-01,Prophet,0.05742481433737819,0.09066657929718737,0.011315755958626989,0.011315755958626989
challand saint anselme,2025-05-01,Prophet,0.05742481433737819,0.11042949984965952,0.011329291320387697,0.011329291320387697
challand saint anselme,2025-06-01,Prophet,0.05742481433737819,0.14253104635166872,0.01134240697179696,0.01134240697179696
challand saint anselme,2025-07-01,Prophet,0.05742481433737819,0.1522518765526729,0.011345475899086398,0.011345475899086398
challand saint anselme,2025-08-01,Prophet,0.05742481433737819,0.15180782567578177,0.011345322515014739,0.011345322515014739
challand saint anselme,2025-09-01,Prophet,0.05742481433737819,0.12138876778605769,0.01133452495777176,0.01133452495777176
challand saint victor,2025-01-01,Mixed,0.05781869610950554,0.05854074587093663,NA,0.05781869610950554
challand saint victor,2025-02-01,Mixed,0.05781869610950554,0.06605606835992313,NA,0.05781869610950554
challand saint victor,2025-03-01,Mixed,0.05781869610950554,0.06275906193656447,NA,0.05781869610950554
challand saint victor,2025-04-01,Mixed,0.05781869610950554,0.04145104889157307,NA,0.05781869610950554
challand saint victor,2025-05-01,Mixed,0.05781869610950554,0.053509762102283046,NA,0.05781869610950554
challand saint victor,2025-06-01,Mixed,0.05781869610950554,0.05427781645867199,NA,0.05781869610950554
challand saint victor,2025-07-01,Mixed,0.05781869610950554,0.06605627908666167,NA,0.05781869610950554
challand saint victor,2025-08-01,Mixed,0.05781869610950554,0.0664184351724452,NA,0.05781869610950554
challand saint victor,2025-09-01,Mixed,0.05781869610950554,0.020340028529587807,NA,0.05781869610950554
chambave,2025-01-01,Mixed,0.059574839747661486,0.06756200828286824,NA,0.059574839747661486
chambave,2025-02-01,Mixed,0.059574839747661486,0.06806241928609331,NA,0.059574839747661486
chambave,2025-03-01,Mixed,0.059574839747661486,0.0700424127072763,NA,0.059574839747661486
chambave,2025-04-01,Mixed,0.059574839747661486,0.06558448130580412,NA,0.059574839747661486
chambave,2025-05-01,Mixed,0.059574839747661486,0.06806251594036117,NA,0.059574839747661486
chambave,2025-06-01,Mixed,0.059574839747661486,0.06683541155849453,NA,0.059574839747661486
chambave,2025-07-01,Mixed,0.059574839747661486,0.08166764716644452,NA,0.059574839747661486
chambave,2025-08-01,Mixed,0.059574839747661486,0.08311535345011621,NA,0.059574839747661486
chambave,2025-09-01,Mixed,0.059574839747661486,0.06422960832132811,NA,0.059574839747661486
chamois,2025-01-01,Prophet,0.06100964630135328,0.1339888665857833,0.05869969915329849,0.05869969915329849
chamois,2025-02-01,Prophet,0.06100964630135328,0.1439686761848121,0.0587294769096555,0.0587294769096555
chamois,2025-03-01,Prophet,0.06100964630135328,0.13187772627731967,0.05869291363180085,0.05869291363180085
chamois,2025-04-01,Prophet,0.06100964630135328,0.015269294465495109,0.04710555195196363,0.04710555195196363
chamois,2025-05-01,Prophet,0.06100964630135328,0.022530253432520915,0.05150262540569952,0.05150262540569952
chamois,2025-06-01,Prophet,0.06100964630135328,0.09091413162340793,0.05846471015778454,0.05846471015778454
chamois,2025-07-01,Prophet,0.06100964630135328,0.14222343522285025,0.05872487358370142,0.05872487358370142
chamois,2025-08-01,Prophet,0.06100964630135328,0.14465960830751834,0.058731597875750746,0.058731597875750746
chamois,2025-09-01,Prophet,0.06100964630135328,0.08447153655785732,0.05839346792461338,0.05839346792461338
champdepraz,2025-01-01,Mixed,0.037365223114740456,0.08068022423714694,NA,0.037365223114740456
