comune_key,comune_key_norm,comune_nome,istat_muni_code,assigned_model,risk_score,p_energy_given_tourism_upper_95,lift_upper_95,tourism_intensity_rank,risk_rank,n_months,load_actual_assigned_sum,load_q95_assigned_sum,shock_delta_kwh_sum,shock_delta_kwh_abs_sum,scenario_tail_impact_kwh_sum,scenario_tail_impact_weighted_sum,scenario_tail_impact_kwh_mean,scenario_tail_impact_kwh_max,scenario_tail_impact_kwh_min,shock_delta_pct_vs_actual
challand saint victor,challand saint victor,Challand-Saint-Victor,7014,Mixed,0,0,NA,60,60,9,628423.2000977928,638808.8707310974,10385.670633304704,10385.670633304704,0,0,0,0,0,1.6526555085312644
chambave,chambave,Chambave,7015,Mixed,0,0,NA,63,51,9,1214997.7273858888,1220386.3074326403,5388.580046751493,5388.580046751493,0,0,0,0,0,0.44350536015778097
champdepraz,champdepraz,Champdepraz,7017,Mixed,0,0,NA,43,66,9,775366.9644926938,777383.2992142367,2016.3347215427784,2016.3347215427784,0,0,0,0,0,0.26004908822265804
champorcher,champorcher,Champorcher,7018,Prophet,0.166666666666667,0,0,24,15,9,1445240.9885487254,1460391.0545916967,15150.066042971244,15150.066042971244,0,0,0,0,0,1.0482726523127983
charvensod,charvensod,Charvensod,7019,Mixed,0,0,NA,37,41,9,2662171.799367337,2683649.637348282,21477.83798094507,21477.83798094507,0,0,0,0,0,0.8067788106706386
chatillon,chatillon,Châtillon,7020,GAMM,0,0,NA,36,32,8,6771263.538123269,6952928.046118083,181664.50799481513,181664.50799481513,0,0,0,0,0,2.6828745768351148
donnas,donnas,Donnas,7023,Mixed,0,0,NA,65,53,9,2526689.542286867,2543406.9722743197,16717.429987452953,16717.429987452953,0,0,0,0,0,0.6616337190489263
emarese,emarese,Emarèse,7025,Mixed,0,0,NA,55,48,9,273997.1844439156,274756.42165650846,759.237212592845,759.237212592845,0,0,0,0,0,0.27709672058628954
etroubles,etroubles,Etroubles,7026,Mixed,0,0,NA,17,22,9,832944.7283152126,854007.4378735155,21062.709558302857,21062.709558302857,0,0,0,0,0,2.528704347634947
fenis,fenis,Fénis,7027,GAMM,0,0,NA,44,44,9,1783919.2730428062,1852134.247171289,68214.9741284828,68214.9741284828,0,0,0,0,0,3.8238823448624837
fontainemore,fontainemore,Fontainemore,7028,Prophet,0,0,NA,40,62,9,502913.4767806756,502887.7622671776,-25.71451349803101,25.71451349803101,0,0,0,-0,-0,-0.005113108851773074
gaby,gaby,Gaby,7029,Prophet,0,0,NA,25,42,8,665409.7357224978,650116.2346459242,-15293.501076573615,15293.501076573615,0,0,0,-0,-0,-2.298358478324336
gignod,gignod,Gignod,7030,GAMM,0,0,NA,46,35,9,490420.8052904096,517852.94003813167,27432.13474772209,27432.13474772209,0,0,0,0,0,5.59359114699014
hone,hone,Hône,7034,Mixed,0,0,NA,64,65,9,1371881.2162226534,1369975.2687151732,-1905.9475074801303,1905.9475074801303,0,0,0,-0,-0,-0.1389294849249434
introd,introd,Introd,7035,Mixed,0,0,NA,34,59,9,858129.2805107492,862792.0043479633,4662.7238372139545,4662.7238372139545,0,0,0,0,0,0.5433591351688749
issime,issime,Issime,7036,Mixed,0,0,NA,62,72,9,587685.5137104504,588864.9520586014,1179.4383481509794,1179.4383481509794,0,0,0,0,0,0.2006920913711907
issogne,issogne,Issogne,7037,Mixed,0,0,NA,73,23,9,1616912.270745159,1615614.9605547676,-1297.310190391232,1297.310190391232,0,0,0,-0,-0,-0.08023380203512342
jovencan,jovencan,Jovençan,7038,Mixed,0.0555555555555556,0,0,33,18,9,955619.4829765798,957490.0947502356,1870.6117736556334,1870.6117736556334,0,0,0,0,0,0.19574860150706197
la salle,la salle,La Salle,7040,GAMM,0,0,NA,27,49,9,3783641.905577426,3936088.7493800647,152446.84380263853,152446.84380263853,0,0,0,0,0,4.0291033773021345
lillianes,lillianes,Lillianes,7042,Mixed,0,0,NA,42,70,9,374346.4954793999,373870.0568495636,-476.43862983635336,476.43862983635336,0,0,0,-0,-0,-0.12727209566264497
montjovet,montjovet,Montjovet,7043,Mixed,0,0,NA,49,45,9,1737122.848540053,1739397.1924264324,2274.3438863792107,2274.3438863792107,0,0,0,0,0,0.1309259093731141
morgex,morgex,Morgex,7044,Mixed,0,0,NA,38,27,9,9853782.00473839,10014903.02126264,161121.01652425015,161121.01652425015,0,0,0,0,0,1.635118540746805
nus,nus,Nus,7045,Mixed,0,0,NA,48,55,9,2614566.343344334,2625873.241279591,11306.897935256682,11306.897935256682,0,0,0,0,0,0.4324578706537574
ollomont,ollomont,Ollomont,7046,Mixed,0,0,NA,30,28,9,349954.92233970313,358217.2489023509,8262.326562647777,8262.326562647777,0,0,0,0,0,2.360968809184949
oyace,oyace,Oyace,7047,Prophet,0,0,NA,71,50,9,226346.04424297842,226321.37060246634,-24.673640512064594,24.673640512064594,0,0,0,-0,-0,-0.010900849005157642
perloz,perloz,Perloz,7048,GAMM,0,0,NA,61,47,9,711415.8370923623,722726.6482328718,11310.811140509366,11310.811140509366,0,0,0,0,0,1.589901510590197
pollein,pollein,Pollein,7049,GAMM,0.0434782608695652,0,0,22,19,9,3886311.24306929,4086293.078181389,199981.83511209872,199981.83511209872,0,0,0,0,0,5.14580080194913
pontboset,pontboset,Pontboset,7050,GAMM,0,0,NA,29,29,9,206902.03275516944,215519.8272022295,8617.794447060045,8617.794447060045,0,0,0,0,0,4.165156974198325
pontey,pontey,Pontey,7051,Prophet,0,0,NA,67,71,9,999716.0462084018,997715.8144092493,-2000.2317991524615,2000.2317991524615,0,0,0,-0,-0,-0.20007999338799154
quart,quart,Quart,7054,Mixed,0,0,NA,57,26,9,5946779.725799944,5976855.452807799,30075.72700785473,30075.72700785473,0,0,0,0,0,0.5057481257859875
rhemes saint georges,rhemes saint georges,Rhêmes-Saint-Georges,7056,Prophet,0,0,0,19,40,9,495148.4376560012,496305.348836918,1156.9111809168899,1156.9111809168899,0,0,0,0,0,0.23364936510625878
roisan,roisan,Roisan,7057,Mixed,0,0,NA,68,64,9,998564.2203361945,1006089.6724608729,7525.452124678355,7525.452124678355,0,0,0,0,0,0.7536272551548873
saint christophe,saint christophe,Saint-Christophe,7058,GAMM,0,0,NA,59,24,9,2819464.374032717,2993878.8971581454,174414.52312542842,174414.52312542842,0,0,0,0,0,6.186087142358909
saint marcel,saint marcel,Saint-Marcel,7060,GAMM,0,0,NA,72,57,9,2784556.9978831797,2790213.171058307,5656.1731751272455,13589.295668219565,0,0,0,-0,-0,0.20312650017317857
saint nicolas,saint nicolas,Saint-Nicolas,7061,Prophet,0,0,0,20,39,9,556846.5923973086,561188.9125072721,4342.320109963439,4342.320109963439,0,0,0,0,0,0.7798054561614975
saint oyen,saint oyen,Saint-Oyen,7062,Mixed,0,0,NA,21,33,9,341696.87594075303,346763.8015392477,5066.925598494672,5066.925598494672,0,0,0,0,0,1.4828715025692052
saint pierre,saint pierre,Saint-Pierre,7063,GAMM,0,0,NA,45,34,9,3666704.477887506,3773510.0320341242,106805.55414661794,106805.55414661794,0,0,0,0,0,2.9128487117170643
saint rhemy en bosses,saint rhemy en bosses,NA,NA,GAMM,0,0,NA,NA,NA,9,1774906.5583663823,1821706.754026817,46800.19566043481,46800.19566043481,0,0,0,0,0,2.6367695493507703
sarre,sarre,Sarre,7066,Mixed,0,0,NA,41,46,9,4388696.036286826,4411099.516472098,22403.48018527188,22403.48018527188,0,0,0,0,0,0.5104814733131402
verrayes,verrayes,Verrayes,7072,GAMM,0,0,NA,50,67,9,1379294.6401331269,1408961.3842417854,29666.744108658517,29666.744108658517,0,0,0,0,0,2.1508634374012514
verres,verres,Verrès,7073,GAMM,0,0,NA,66,58,9,6833829.020942608,6833992.365316906,163.34437429788522,27243.90599717968,0,0,0,-0,-0,0.002390232090943023
villeneuve,villeneuve,Villeneuve,7074,Mixed,0,0,NA,51,69,9,1651472.0383189456,1647678.9046058077,-3793.1337131377077,3793.1337131377077,0,0,0,-0,-0,-0.2296819822029117
gressoney saint jean,gressoney saint jean,Gressoney-Saint-Jean,7033,Prophet,0.387119504173636,0.333333333333333,6.66666666666667,13,1,9,3030856.2236535503,3025369.4940887084,-5486.72956484172,5486.72956484172,-1828.909854947238,-708.0066762254513,-203.21220610524867,-72.85968902640154,-313.16620589346434,-0.18102902810176458
