comune_key,date,assigned_model,actual_kwh,pred_kwh_mixed_actual,pred_kwh_gamm_actual,pred_kwh_mixed_q95,pred_kwh_gamm_q95,pred_kwh_prophet_actual,pred_kwh_prophet_q95,arrivals_actual,arrivals_q95,arrivals_multiplier_q95,load_actual_assigned,load_q95_assigned,delta_kwh_q95_minus_actual,delta_pct_q95_minus_actual,comune_key_norm,comune_nome,istat_muni_code,risk_score,p_energy_given_tourism_upper_95,lift_upper_95,p_energy_given_tourism_upper_90,lift_upper_90,tourism_intensity_rank,risk_rank,scenario_tail_impact_kwh,scenario_tail_impact_weighted,abs_shock_kwh,abs_tail_impact_kwh
pollein,2025-06-01,GAMM,459321.00000000006,377761.1825716187,429368.9422239051,383114.68502018665,438224.5799636872,NA,NA,3643.9999999999977,4344.64619468205,1.1922739282881594,429368.9422239051,438224.5799636872,8855.637739782047,2.062477480069824,pollein,Pollein,7049,0.0434782608695652,0,0,0.173913043478261,1.73913043478261,22,19,0,0,8855.637739782047,0
pollein,2025-07-01,GAMM,482228.0000000001,412255.5706647503,442783.4650081693,426003.1439139174,462029.1878367885,NA,NA,4059.000000000001,6115.7297295899,1.5067084822837888,442783.4650081693,462029.1878367885,19245.72282861924,4.3465315102189095,pollein,Pollein,7049,0.0434782608695652,0,0,0.173913043478261,1.73913043478261,22,19,0,0,19245.72282861924,0
pollein,2025-08-01,GAMM,485216.0000000004,425724.24795361765,462261.0527074723,443525.2122181419,487577.069281696,NA,NA,3847.9999999999977,6420.19244803703,1.668449180882805,462261.0527074723,487577.069281696,25316.01657422364,5.4765627400247485,pollein,Pollein,7049,0.0434782608695652,0,0,0.173913043478261,1.73913043478261,22,19,0,0,25316.01657422364,0
pollein,2025-09-01,GAMM,342987,359225.62008073094,401003.7168946527,384425.56178784743,437520.8772652005,NA,NA,3430.000000000002,8002.99073873269,2.3332334515255644,401003.7168946527,437520.8772652005,36517.16037054779,9.106439375009876,pollein,Pollein,7049,0.0434782608695652,0,0,0.173913043478261,1.73913043478261,22,19,0,0,36517.16037054779,0
pontboset,2025-01-01,GAMM,26693.00000000001,25353.42654399296,27878.607004010988,25556.17972487957,28298.279496927906,NA,NA,141.99999999999994,173.770803141638,1.2237380502932258,27878.607004010988,28298.279496927906,419.6724929169177,1.5053567520663336,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,419.6724929169177,0
pontboset,2025-02-01,GAMM,22801.00000000001,21745.23914626834,22265.93782982616,22092.68872227662,22929.53225392835,NA,NA,121.00000000000004,180.871267158086,1.4948038608106278,22265.93782982616,22929.53225392835,663.5944241021934,2.980312031650789,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,663.5944241021934,0
pontboset,2025-03-01,GAMM,22423.000000000004,21348.245224189457,21762.933931968702,21634.560014445353,22294.2594411276,NA,NA,113.00000000000004,158.455639535341,1.4022622967729288,21762.933931968702,22294.2594411276,531.3255091588981,2.44142407829675,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,531.3255091588981,0
pontboset,2025-04-01,GAMM,21092.000000000004,20802.52899404497,21839.82687252182,21166.56298448044,22518.639577060498,NA,NA,87.00000000000003,135.224209913923,1.5543012633784248,21839.82687252182,22518.639577060498,678.8127045386755,3.1081414175161637,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,678.8127045386755,0
pontboset,2025-05-01,GAMM,21246.000000000004,20297.827135944823,21491.804106013202,20557.421032375623,22045.894237005512,NA,NA,162,223.492609748671,1.3795840107942654,21491.804106013202,22045.894237005512,554.0901309923138,2.5781462005662226,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,554.0901309923138,0
pontboset,2025-06-01,GAMM,19708.000000000015,19777.958377044313,20460.272826182805,19978.8132479922,20946.399324864946,NA,NA,236.00000000000009,304.688264959192,1.2910519701660672,20460.272826182805,20946.399324864946,486.126498682137,2.375953159627686,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,486.126498682137,0
pontboset,2025-07-01,GAMM,24106.000000000015,22276.98983675246,23763.13225239156,22726.790870798093,25305.161156059436,NA,NA,473.00000000000017,783.244398600353,1.6559078194510628,23763.13225239156,25305.161156059436,1542.0289036678732,6.48916517944591,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,1542.0289036678732,0
pontboset,2025-08-01,GAMM,27320.99999999998,23798.963751847376,26706.030556070786,24361.10199862399,28771.474371263717,NA,NA,494,890.220066732311,1.802064912413585,26706.030556070786,28771.474371263717,2065.4438151929353,7.733997798199255,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,2065.4438151929353,0
pontboset,2025-09-01,GAMM,14415.000000000002,19912.05980058756,20733.487376183428,20604.583132332897,22410.18734399153,NA,NA,163.00000000000006,386.994619462649,2.3742001194027536,20733.487376183428,22410.18734399153,1676.699967808101,8.086917253168547,pontboset,Pontboset,7050,0,0,NA,0,0,29,29,0,0,1676.699967808101,0
pontey,2025-01-01,Prophet,141698,125981.1019241132,129230.68015325336,125559.4686604017,129813.58979410662,155944.08056957266,155756.71736445234,78,101.177642858688,1.297149267419077,155944.08056957266,155756.71736445234,-187.3632051203167,-0.12014768655276288,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,187.3632051203167,0
pontey,2025-02-01,Prophet,112351.00000000006,110449.43967879492,110270.96631261786,109774.29784956871,112283.93184343184,116751.61047863904,116495.18131730604,86,138.272986057591,1.607825419274314,116751.61047863904,116495.18131730604,-256.4291613330133,-0.2196365088941832,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,256.4291613330133,0
pontey,2025-03-01,Prophet,120796,105016.17777884856,103979.94026519106,104494.02376851068,104331.15158083338,122479.89728209768,122261.16124245888,67.00000000000001,98.6856348928607,1.47291992377404,122479.89728209768,122261.16124245888,-218.73603963881033,-0.1785893395509719,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,218.73603963881033,0
pontey,2025-04-01,Prophet,127822.00000000012,96845.72207822574,96581.24116763187,96317.40331523334,95417.12469681332,108120.30802523416,107908.4213382175,33.00000000000001,50.7354925945194,1.5374391695308909,108120.30802523416,107908.4213382175,-211.886687016653,-0.19597307007968023,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,211.886687016653,0
pontey,2025-05-01,Prophet,115664.00000000006,87938.48992087862,87978.81360273888,87564.65951568559,87718.65830720661,101845.41049538528,101689.93951872732,56.00000000000001,78.04141564111,1.3935967078769642,101845.41049538528,101689.93951872732,-155.47097665794718,-0.1526538858272808,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,155.47097665794718,0
pontey,2025-06-01,Prophet,111952.00000000004,80218.8811446866,81863.14505110888,80019.38587478026,82101.18800195942,91355.77948969918,91274.2418857958,78.99999999999997,95.844628457839,1.213223145035937,91355.77948969918,91274.2418857958,-81.53760390338721,-0.08925281395314455,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,81.53760390338721,0
pontey,2025-07-01,Prophet,122495.9999999999,85177.70269239714,83805.66740206255,84666.03802691007,86585.37025163104,101069.16058105604,100851.02032436346,136.00000000000003,216.532947314693,1.5921540243727423,101069.16058105604,100851.02032436346,-218.14025669256807,-0.21583265898169612,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,218.14025669256807,0
pontey,2025-08-01,Prophet,105827.00000000007,85420.59914610378,93107.23333923703,84793.04098883666,96192.876608332,100842.65206754976,100576.3461261166,349.9999999999999,617.101122400773,1.763146064002209,100842.65206754976,100576.3461261166,-266.305941433151,-0.26408066028922317,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,266.305941433151,0
pontey,2025-09-01,Prophet,91826.99999999993,85052.42711418781,84255.15824404244,84109.13436736116,82910.2822239056,101307.147219168,100902.7852918114,33.99999999999999,81.3686580426564,2.3931958247840126,101307.147219168,100902.7852918114,-404.3619273566146,-0.3991445208518352,pontey,Pontey,7051,0,0,NA,NA,NA,67,71,-0,-0,404.3619273566146,0
quart,2025-01-01,Mixed,903170.0000000006,862354.992458365,898574.3144522706,865257.0804523862,913104.7042975124,NA,NA,747.9999999999998,993.303062949392,1.3279452713227171,862354.992458365,865257.0804523862,2902.0879940211307,0.3365305494142268,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,2902.0879940211307,0
quart,2025-02-01,Mixed,738072.0000000002,741756.2439764357,767113.2337707682,746149.627551807,789742.9224451875,NA,NA,738.9999999999998,1216.59097830275,1.646266547094385,741756.2439764357,746149.627551807,4393.383575371234,0.592294788355141,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,4393.383575371234,0
quart,2025-03-01,Mixed,704118.9999999995,716258.5473423577,734006.0248536201,719579.1961922289,749387.7065039814,NA,NA,600,886.697485291978,1.4778291421532963,716258.5473423577,719579.1961922289,3320.6488498712424,0.4636103627932098,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,3320.6488498712424,0
quart,2025-04-01,Mixed,597630.9999999998,651391.7682945202,663035.5163560209,654601.950727977,676215.2900031741,NA,NA,456.00000000000017,690.755370264925,1.514814408475712,651391.7682945202,654601.950727977,3210.182433456765,0.4928190053524517,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,3210.182433456765,0
quart,2025-05-01,Mixed,561443.9999999997,594166.5376090255,622730.0447901456,596403.9065057308,633874.3540487922,NA,NA,712,977.886565495857,1.3734361874941812,594166.5376090255,596403.9065057308,2237.3688967053313,0.3765558568324501,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,2237.3688967053313,0
quart,2025-06-01,Mixed,593988.0000000005,572857.807355987,600543.1583477504,574119.1628355961,606771.6627276551,NA,NA,747.0000000000003,899.428793916357,1.2040546103297949,572857.807355987,574119.1628355961,1261.3554796091048,0.2201864866660186,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,1261.3554796091048,0
quart,2025-07-01,Mixed,632004.9999999994,614926.7060514753,616653.3280403849,618005.884535286,634196.1846562132,NA,NA,1296.9999999999995,1976.86737584105,1.5241845611727454,614926.7060514753,618005.884535286,3079.1784838107415,0.5007391049223653,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,3079.1784838107415,0
quart,2025-08-01,Mixed,638227.9999999995,618784.2501269086,629348.2700495078,622565.676964331,651402.24828829,NA,NA,1287.9999999999995,2153.61822013323,1.6720638355071666,618784.2501269086,622565.676964331,3781.426837422303,0.6111058639011402,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,3781.426837422303,0
quart,2025-09-01,Mixed,400132.0000000002,574282.8725848695,586433.2895313703,580172.9670424564,617719.8102417884,NA,NA,698.9999999999998,1653.98767081106,2.3662198437926474,574282.8725848695,580172.9670424564,5890.094457586878,1.025643413510724,quart,Quart,7054,0,0,NA,NA,NA,57,26,0,0,5890.094457586878,0
rhemes saint georges,2025-01-01,Prophet,70528.99999999994,64625.76254401808,69460.04925862,64737.67612425695,70139.15170305916,60497.69673314404,60546.36057166833,137.99999999999997,160.120557242643,1.1602938930626308,60497.69673314404,60546.36057166833,48.66383852429135,0.08043915909550226,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,48.66383852429135,0
rhemes saint georges,2025-02-01,Prophet,59953.00000000005,57449.03857204229,60370.968738611184,57741.14846180218,62520.328693905954,52968.60272366453,53093.59520340487,194.99999999999991,301.174676186624,1.544485518905765,52968.60272366453,53093.59520340487,124.9924797403437,0.23597465916256333,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,124.9924797403437,0
rhemes saint georges,2025-03-01,Prophet,63210,55609.808495366335,57567.505321514705,55792.89690945352,57888.73732065548,54916.05937676179,55000.00882134343,69.00000000000003,91.6701265390961,1.328552558537624,54916.05937676179,55000.00882134343,83.94944458163809,0.15286866088786155,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,83.94944458163809,0
rhemes saint georges,2025-04-01,Prophet,51548.999999999985,54658.86105395752,56652.717896888746,54832.76089568902,56563.43618870359,49943.87417484597,50017.65497084286,20,26.5401352536831,1.327006762684155,49943.87417484597,50017.65497084286,73.78079599688499,0.14772741845894277,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,73.78079599688499,0
rhemes saint georges,2025-05-01,Prophet,46993.99999999999,54267.482946858945,55795.986243133295,54466.96904481245,57154.66638274092,50019.82961564358,50105.19470003699,165.00000000000006,226.0490990016,1.369994539403636,50019.82961564358,50105.19470003699,85.36508439340832,0.17066248535702044,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,85.36508439340832,0
rhemes saint georges,2025-06-01,Prophet,50173.99999999995,58351.68926580146,61886.9578825936,58595.232048870355,63528.7371867388,51573.19954123507,51673.11981901039,586.0000000000002,836.582648754178,1.4276154415600302,51573.19954123507,51673.11981901039,99.9202777753162,0.1937445779283564,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,99.9202777753162,0
rhemes saint georges,2025-07-01,Prophet,62844.99999999997,64550.818917852965,72063.82845926935,64971.665536697285,76004.56538517957,60830.742329312576,61014.726638226006,1640.9999999999995,2858.2970625201,1.741801988129251,60830.742329312576,61014.726638226006,183.98430891343017,0.3024528418828387,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,183.98430891343017,0
rhemes saint georges,2025-08-01,Prophet,65467.00000000005,70204.88000642572,78478.85244099192,70709.92449385239,83308.03808594681,65928.72947826183,66148.7152773898,1854,3419.21463700553,1.8442365895391208,65928.72947826183,66148.7152773898,219.9857991279714,0.3336721348475402,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,219.9857991279714,0
rhemes saint georges,2025-09-01,Prophet,33470.00000000001,54894.923586166464,52361.77876240093,55472.34710925536,53837.9654402314,48469.70368313177,48705.97283499537,58.000000000000014,143.119955315421,2.4675854364727754,48469.70368313177,48705.97283499537,236.26915186360569,0.4874573886570533,rhemes saint georges,Rhêmes-Saint-Georges,7056,0,0,0,0,0,19,40,0,0,236.26915186360569,0
roisan,2025-01-01,Mixed,175000.00000000012,158586.9278569158,167828.29828580417,159173.6292079245,169122.3600676397,NA,NA,105.99999999999996,131.178077043913,1.2375290287161609,158586.9278569158,159173.6292079245,586.7013510086981,0.36995568231075193,roisan,Roisan,7057,0,0,NA,NA,NA,68,64,0,0,586.7013510086981,0
roisan,2025-02-01,Mixed,142487.0000000001,133121.2457107529,138829.0464336153,134110.84333371604,141369.84099348244,NA,NA,132,202.198712905783,1.531808431104417,133121.2457107529,134110.84333371604,989.5976229631342,0.7433806810321908,roisan,Roisan,7057,0,0,NA,NA,NA,68,64,0,0,989.5976229631342,0
roisan,2025-03-01,Mixed,134054.00000000006,127480.698829939,134219.8204638186,128256.87503283349,135562.44512423326,NA,NA,76.00000000000001,107.981178740189,1.4208049834235392,127480.698829939,128256.87503283349,776.1762028944795,0.6088578192765537,roisan,Roisan,7057,0,0,NA,NA,NA,68,64,0,0,776.1762028944795,0
roisan,2025-04-01,Mixed,110465.99999999993,111517.1429434106,120726.82449375962,112348.9089826191,122505.39406028252,NA,NA,89,136.696889897199,1.535920111204483,111517.1429434106,112348.9089826191,831.766039208509,0.7458638351509617,roisan,Roisan,7057,0,0,NA,NA,NA,68,64,0,0,831.766039208509,0
roisan,2025-05-01,Mixed,96538.99999999993,98843.91040859738,107899.8619159806,99450.15410239848,109103.08758613032,NA,NA,84.00000000000001,119.610512400344,1.4239346714326666,98843.91040859738,99450.15410239848,606.2436938011087,0.6133343888308662,roisan,Roisan,7057,0,0,NA,NA,NA,68,64,0,0,606.2436938011087,0
