"model","engine","term","estimate","std.error","df","statistic","p.value"
"M4_turismo","lmerTest","sin_m3_z",-0.0436165653126964,0.00239703312315893,5828.49740719377,-18.1960628292096,5.29446703704815e-72
"M4_turismo","lmerTest","cos_m3_z",0.0147474457122726,0.00236416441474508,5881.33621809748,6.23791036710225,4.74345322992702e-10
"M4_turismo","lmerTest","year_factor2020",-0.0059104400782389,0.00894681235669419,5497.72308402265,-0.660619653413944,0.508883940830317
"M4_turismo","lmerTest","year_factor2021",0.0179413731811328,0.00875933812500173,5657.98264153528,2.04825672043905,0.0405809038995798
"M4_turismo","lmerTest","year_factor2022",0.0106249369401713,0.00860773786215057,5890.18749193127,1.23434717812338,0.217122805791922
"M4_turismo","lmerTest","year_factor2023",-0.00555009275928673,0.00874059937807709,5890.84861121738,-0.634978508820266,0.525467092819877
"M4_turismo","lmerTest","year_factor2024",0.0176454838603555,0.0089466513847824,5886.94186269257,1.97230037267006,0.0486220579839002
"M4_turismo","lmerTest","year_factor2025",-0.0711112390493469,0.00964697075513566,5872.11356223054,-7.3713542680214,1.92255387414649e-13
"M4_turismo","lmerTest","log_kwh_lag1_z",0.798150239792368,0.0126136947355539,4452.68482627305,63.2764829437834,0
"M4_turismo","lmerTest","log_kwh_lag12_z",0.485418083615544,0.0124560924482554,5231.37556955117,38.9703340459337,6.77344247880793e-292
"M4_turismo","lmerTest","log_totale_arrivi_z",0.0341931760708905,0.00370810734331655,256.053451241768,9.22119369940027,1.12415870449868e-17
