"comune_key","n_obs","n_tourism_upper_90","n_energy_upper_90","n_joint_upper_90","share_joint_upper_90","p_energy_given_tourism_upper_90","lift_upper_90","mean_joint_severity_90","kendall_tau","n_tourism_upper_95","n_energy_upper_95","n_joint_upper_95","share_joint_upper_95","p_energy_given_tourism_upper_95","lift_upper_95","mean_joint_severity_95","risk_score","comune_nome","istat_muni_code","mean_arrivi","mean_residenti","mean_kwh","arrivi_per_residente","tourism_intensity_rank","risk_rank"
"pont saint martin",81,0,3,0,0,NA,NA,NA,0.132716049382716,0,0,0,0,NA,NA,NA,0,"Pont-Saint-Martin","7052",484.645161290323,3611.45161290323,1335743.78494624,0.134196775490152,56,25
"quart",81,0,0,0,0,NA,NA,NA,0.118518518518518,0,0,0,0,NA,NA,NA,0,"Quart","7054",501.688172043011,4080.54838709677,652616.311827957,0.122946262230198,57,26
"morgex",81,0,9,0,0,NA,NA,NA,0.114814814814815,0,4,0,0,NA,NA,NA,0,"Morgex","7044",887.623655913978,2089.1935483871,1020180.06451613,0.424864252811447,38,27
"ollomont",81,0,14,0,0,NA,NA,NA,0.100617283950617,0,5,0,0,NA,NA,NA,0,"Ollomont","7046",115.795698924731,163.032258064516,36022.8387096774,0.710262498351141,30,28
"pontboset",81,2,2,0,0,0,0,NA,0.0901234567901234,0,1,0,0,NA,NA,NA,0,"Pontboset","7050",127.645161290323,174.322580645161,21397.6559139785,0.732235381199112,29,29
"aosta",81,0,7,0,0,NA,NA,NA,0.0796296296296296,0,3,0,0,NA,NA,NA,0,"Aosta","7003",8109.35483870968,33669.7419354839,6099171.60215054,0.240849925557742,47,30
"la magdeleine",81,0,14,0,0,NA,NA,NA,0.0679012345679012,0,7,0,0,NA,NA,NA,0,"La Magdeleine","7039",74.7634408602151,107.129032258065,24875.1612903226,0.697882164006825,31,31
"chatillon",75,3,8,0,0,0,0,NA,0.0436036036036036,0,7,0,0,NA,NA,NA,0,"Châtillon","7020",2195.22580645161,4502.77419354839,817484.666666667,0.487527402461565,36,32
"saint oyen",81,3,8,0,0,0,0,NA,0.0419753086419753,0,0,0,0,NA,NA,NA,0,"Saint-Oyen","7062",329.559139784946,196.129032258065,36420.1720430108,1.68031798245614,21,33
"saint pierre",81,0,1,0,0,NA,NA,NA,0.0351851851851852,0,1,0,0,NA,NA,NA,0,"Saint-Pierre","7063",822.440860215054,3218.83870967742,378578.849462366,0.255508565167428,45,34
"gignod",81,0,13,0,0,NA,NA,NA,0.0314814814814815,0,6,0,0,NA,NA,NA,0,"Gignod","7030",432.451612903226,1710.22580645161,60269.376344086,0.252862289454326,46,35
"challand saint anselme",81,2,1,0,0,0,0,NA,0.0271604938271605,0,0,0,0,NA,NA,NA,0,"Challand-Saint-Anselme","7013",371.505376344086,748.096774193548,101636.741935484,0.496600692797493,35,36
"bionaz",81,1,4,0,0,0,0,NA,0.0141975308641975,0,1,0,0,NA,NA,NA,0,"Bionaz","7010",571.129032258065,224.096774193548,66910.2365591398,2.54858212177919,15,37
"valpelline",81,0,16,0,0,NA,NA,NA,0.012962962962963,0,10,0,0,NA,NA,NA,0,"Valpelline","7069",414.440860215054,602.870967741935,85719.2688172043,0.687445377851499,32,38
"saint nicolas",81,15,1,0,0,0,0,NA,0.00679012345679012,7,0,0,0,0,0,NA,0,"Saint-Nicolas","7061",547.591397849462,320.032258064516,59229.6989247312,1.71105063333669,20,39
"rhemes saint georges",81,4,7,0,0,0,0,NA,-0.00123456790123457,1,2,0,0,0,0,NA,0,"Rhêmes-Saint-Georges","7056",313.408602150538,170.354838709677,55040.6559139785,1.83973994824213,19,40
"charvensod",81,0,1,0,0,NA,NA,NA,-0.00185185185185185,0,0,0,0,NA,NA,NA,0,"Charvensod","7019",1129.8064516129,2390.06451612903,290208.043010753,0.472709604275765,37,41
"gaby",78,3,4,0,0,0,0,NA,-0.0136530136530137,0,1,0,0,NA,NA,NA,0,"Gaby","7029",384.193548387097,446.322580645161,86849.5483870968,0.860797918473547,25,42
"brissogne",81,0,8,0,0,NA,NA,NA,-0.0148148148148148,0,2,0,0,NA,NA,NA,0,"Brissogne","7011",41.6666666666667,955.322580645161,530306.311827957,0.0436152850469919,70,43
"fenis",81,0,0,0,0,NA,NA,NA,-0.0179012345679012,0,0,0,0,NA,NA,NA,0,"Fénis","7027",511.430107526882,1783.74193548387,183004.23655914,0.286717544367284,44,44
