rep,date,arrivals,comune_key,comune_nome,share,arrivals_comune,totale_arrivi,tourism_multiplier
20,2025-05-01,52509.9334882022,saint vincent,Saint-Vincent,0.105179715532347,5522.97986691158,6792,0.8131595799339781
20,2025-05-01,52509.9334882022,sarre,Sarre,0.0258527868913209,1357.52812014793,1696,0.8004293161249587
20,2025-05-01,52509.9334882022,torgnon,Torgnon,0.00408588196080931,214.549390002742,275,0.7801796000099709
20,2025-05-01,52509.9334882022,valsavarenche,Valsavarenche,0.0167838496371622,881.318828123376,1058,0.8330045634436446
20,2025-05-01,52509.9334882022,valtournenche,Valtournenche,0.0420165525034684,2206.28637736068,2869,0.769008845367961
20,2025-05-01,52509.9334882022,verrayes,Verrayes,0.00468015684420674,245.75472460365,303,0.8110716983618812
20,2025-05-01,52509.9334882022,verres,Verrès,0.00287094725224237,150.753249263384,187,0.8061671083603422
20,2025-05-01,52509.9334882022,villeneuve,Villeneuve,0.00226587939048828,118.981176086828,148,0.8039268654515406
20,2025-06-01,127106.002204705,antey saint andre,Antey-Saint-André,0.0125669250472647,1597.331602764,1879,0.850096648623736
20,2025-06-01,127106.002204705,aosta,Aosta,0.0921744065472961,11715.920321818,13594,0.8618449552609975
20,2025-06-01,127106.002204705,arnad,Arnad,0.00317933754811854,404.112885400658,452,0.894055056196146
20,2025-06-01,127106.002204705,arvier,Arvier,0.00607352412939205,771.981371380837,794,0.9722687296987872
20,2025-06-01,127106.002204705,ayas,Ayas,0.0487876643161365,6201.20496812927,6847,0.9056820458783803
20,2025-06-01,127106.002204705,aymavilles,Aymavilles,0.00354340501732393,450.38804594414,489,0.9210389487610225
20,2025-06-01,127106.002204705,bard,Bard,0.00520067172371347,661.036591580273,757,0.8732319571734122
20,2025-06-01,127106.002204705,brissogne,Brissogne,2.7053226374901e-4,34.3862745125265,40,0.8596568628131624
20,2025-06-01,127106.002204705,brusson,Brusson,0.0196982089034994,2503.76058431695,2799,0.8945196799989102
20,2025-06-01,127106.002204705,challand saint anselme,Challand-Saint-Anselme,0.00498982958594064,634.237290351675,698,0.9086494131112822
20,2025-06-01,127106.002204705,challand saint victor,Challand-Saint-Victor,1.7783125023125e-4,22.603419283959,27,0.8371636771836667
20,2025-06-01,127106.002204705,chambave,Chambave,8.3308184742715e-4,105.889703135776,123,0.8608918954128131
20,2025-06-01,127106.002204705,chamois,Chamois,0.00123878546052212,157.457067476282,162,0.971957206643716
20,2025-06-01,127106.002204705,champdepraz,Champdepraz,0.00273071509812222,347.090279282345,373,0.9305369417757239
20,2025-06-01,127106.002204705,champorcher,Champorcher,0.00430873490975586,547.666068938919,586,0.9345837353906468
20,2025-06-01,127106.002204705,charvensod,Charvensod,0.0127705655732554,1623.21553590953,1842,0.8812245037511021
20,2025-06-01,127106.002204705,chatillon,Châtillon,0.0183556668322609,2333.11542885019,2698,0.8647573865271274
20,2025-06-01,127106.002204705,cogne,Cogne,0.0563925958487803,7167.83741228413,7951,0.9015013724417218
20,2025-06-01,127106.002204705,courmayeur,Courmayeur,0.222999070538707,28344.5203515402,30395,0.9325389159907945
20,2025-06-01,127106.002204705,donnas,Donnas,0.00201609831995411,256.25819750099,279,0.9184881630859856
20,2025-06-01,127106.002204705,emarese,Emarèse,8.40636037917176e-5,10.6849886088855,12,0.8904157174071251
20,2025-06-01,127106.002204705,etroubles,Etroubles,0.0157968064490083,2007.86891533495,2046,0.9813631062243158
20,2025-06-01,127106.002204705,fenis,Fénis,0.00599441141123487,761.92567005233,842,0.9048998456678504
20,2025-06-01,127106.002204705,fontainemore,Fontainemore,0.00230964352490291,293.569554968392,298,0.9851327347932618
20,2025-06-01,127106.002204705,gaby,Gaby,0.00394697366602402,501.684043495564,559,0.8974669829974312
