rep,date,comune_key,assigned_model,model_beta,arrivals_comune,tourism_multiplier,baseline_kwh,scenario_kwh,delta_kwh_vs_baseline,delta_pct_vs_baseline
1,2025-03-01,challand saint anselme,Prophet,0.011322790105893403,332.622510984715,1.0559444793165556,110789.82776041453,110858.13555540139,68.30779498686024,0.06165529486568122
1,2025-03-01,challand saint victor,Mixed,0.05781869610950554,48.788627900005,1.0841917311112221,78817.6834910319,79186.92065670273,369.2371656708274,0.4684699540970838
1,2025-03-01,chambave,Mixed,0.059574839747661486,161.538515719222,1.0914764575623108,141049.88976638293,141787.33876968993,737.4490033070033,0.522828486096949
1,2025-03-01,chamois,Prophet,0.05869291363180085,475.544278362793,1.061482764202663,173576.9217051726,174185.85653733424,608.9348321616417,0.3508155497744969
1,2025-03-01,champdepraz,Mixed,0.037365223114740456,313.856541965512,1.03583017150334,94231.7793228242,94355.81105716854,124.03173434434575,0.13162410307401284
1,2025-03-01,champorcher,Prophet,0.025417815854679563,332.052669487861,1.0248539181724106,190119.65045202617,190238.3239435694,118.6734915432462,0.06242042380211199
1,2025-03-01,charvensod,Mixed,0.06050116020222446,1678.29110633173,1.0595272135932639,315731.05019205896,316837.52077068423,1106.4705786252744,0.3504471853345459
1,2025-03-01,chatillon,GAMM,0.20334685924628776,2537.67869432297,1.0891324868338927,856842.1766221031,871848.6154161982,15006.43879409507,1.7513655610715162
1,2025-03-01,cogne,GAMM,0.1878266940067599,5333.87119503773,1.0661345582725825,660969.3815558077,668967.750484927,7998.368929119315,1.210096738564892
1,2025-03-01,courmayeur,GAMM,0.15438919059640757,18307.3031841855,1.078486196417408,2714711.8695966844,2746565.4963594354,31853.626762751024,1.1733704456629246
1,2025-03-01,donnas,Mixed,0.06212941295993822,161.969448690795,1.058623847652255,286487.31023559143,287503.12895874237,1015.8187231509364,0.35457721401885856
1,2025-03-01,emarese,Mixed,0.05476279089810439,22.7876398289598,1.085125706140943,30669.11046817703,30806.62815007927,137.5176819022381,0.44839149164410674
1,2025-03-01,etroubles,Mixed,0.0779219606473617,648.30949306944,0.9989360447911249,93119.77785436896,93112.05392536487,-7.723929004088859,-0.00829461708571344
1,2025-03-01,fenis,GAMM,0.0938380626747838,329.856898165337,1.0538559046815879,196383.5296353541,197352.57994471976,969.0503093656735,0.4934478523555441
1,2025-03-01,fontainemore,Prophet,-1.1572664560147348e-4,29.0788447236414,1.0027187835738414,60869.91144017019,60869.892314313576,-0.019125856611935887,-3.142087142693484e-5
1,2025-03-01,gaby,Prophet,-0.10017128727258608,453.49084053575,1.0497473160549768,107018.7572316138,106499.56025038645,-519.1969812273455,-0.48514577692552185
1,2025-03-01,gignod,GAMM,0.08705042198428348,300.516904387785,1.0327041387896392,59208.40839104046,59374.504222505246,166.0958314647869,0.2805274385486056
1,2025-03-01,gressan,GAMM,0.1694521198756788,6932.8662237906,1.0461545531598915,1545579.578109243,1557442.1675390394,11862.58942979644,0.7675172212296077
1,2025-03-01,gressoney la trinite,Mixed,0.07025409890557269,3605.21518712074,1.0064810684312508,823510.8685515816,823884.7058299736,373.83727839193307,0.045395548822502185
1,2025-03-01,gressoney saint jean,Prophet,-0.004338022363746578,2972.11643581143,1.068722199141111,392710.7946335672,392597.58413072076,-113.21050284645753,-0.028827957976584884
1,2025-03-01,hone,Mixed,0.050964407799988724,42.1644654419202,1.054111636048005,171447.8579311931,171908.94133016758,461.0833989744715,0.2689350596374984
1,2025-03-01,introd,Mixed,0.0519571248185142,314.568785408273,1.041618494729381,104219.33265267855,104440.36481191193,221.03215923337848,0.2120836447590646
1,2025-03-01,issime,Mixed,0.057826098218061374,116.2485103792,1.096684060181132,66898.43565273767,67256.41604520602,357.98039246835106,0.5351102592691115
1,2025-03-01,issogne,Mixed,0.06355510585164768,35.4608494856411,1.0745711965345788,183234.69493571337,184074.17623564694,839.48129993357,0.4581453857459117
1,2025-03-01,jovencan,Mixed,0.05835190256401172,714.038064241741,1.0934732989919465,119451.56889446138,120076.04903431494,624.4801398535637,0.5227893996145871
1,2025-03-01,la salle,GAMM,0.16759997655028427,2095.05396886867,1.0710909861291769,449169.6839636976,454369.67081942875,5199.986855731171,1.157688740220375
1,2025-03-01,lillianes,Mixed,0.041959400273086124,36.5519000004806,1.0153305555689056,43955.952179350694,43984.0217371691,28.06955781840952,0.06385837736804234
1,2025-03-01,montjovet,Mixed,0.05873874471177509,325.414416400037,1.0919946859061644,207878.09994016457,208955.47950082045,1077.3795606558851,0.5182746816360106
1,2025-03-01,morgex,Mixed,0.08056185213343428,1330.64675315051,1.0594321283045463,1110817.2785987149,1115995.8125737563,5178.533975041471,0.46619134170959864
1,2025-03-01,nus,Mixed,0.05968538892729626,1709.34336417903,1.0703465023037133,308418.35287569184,309672.32046345744,1253.9675877655973,0.4065800806189346
1,2025-03-01,ollomont,Mixed,0.06669248119874707,3.99813563073725,0.9995339076843125,38193.37995724195,38192.19246333461,-1.1874939073386486,-0.003109161610381772
1,2025-03-01,oyace,Prophet,0,1.4308560947561e-4,143085.60947561,27528.20388862345,27528.20388862345,0,0
1,2025-03-01,perloz,GAMM,0.059252076672334335,86.8029540644476,1.0585726105420439,81075.97865178855,81349.8861882513,273.9075364627497,0.33784055526377976
1,2025-03-01,pollein,GAMM,0.18019542926889245,2984.88525553688,1.0854128201952291,429883.65470559546,436279.6732075812,6396.01850198576,1.4878487311563493
1,2025-03-01,pontboset,GAMM,0.07718402702124867,116.437546755883,1.030420767751177,21762.933931968702,21813.32967496974,50.39574300103777,0.2315668611528876
1,2025-03-01,pontey,Prophet,-0.004604621997144186,72.516909216151,1.0823419285992688,122479.89728209768,122435.27978718463,-44.617494913050905,-0.036428422870316
1,2025-03-01,pre saint didier,Prophet,0.13337895529420785,6719.85371230065,1.0921263956282545,309082.14327227714,312736.6034017171,3654.460129439947,1.1823588676944885
1,2025-03-01,quart,Mixed,0.07019586193606624,651.569614087364,1.0859493568122733,716258.5473423577,720416.2516647504,4157.704322392703,0.5804753517873795
