comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
ayas,2025-06-01,6846.9999999999945,8631.59991459081,1.2606396837433644
ayas,2025-07-01,12017.000000000004,19068.0376807165,1.586755236807564
ayas,2025-08-01,12096.00000000001,19994.3223685996,1.6529697725363415
ayas,2025-09-01,4283.000000000001,10537.2717665422,2.4602549069675925
aymavilles,2025-01-01,578.0000000000002,728.560212671004,1.260484797008657
aymavilles,2025-02-01,543.9999999999999,868.731331694517,1.5969325950266862
aymavilles,2025-03-01,458.00000000000006,645.843738292437,1.4101391665773733
aymavilles,2025-04-01,292.99999999999994,431.256091438124,1.4718637933041776
aymavilles,2025-05-01,392,534.505565340093,1.3635346054594208
aymavilles,2025-06-01,488.99999999999983,626.905486737512,1.282015310301661
aymavilles,2025-07-01,1083.0000000000002,1718.57940787708,1.5868692593509508
aymavilles,2025-08-01,1512.9999999999998,2571.65064799369,1.6997030059442766
aymavilles,2025-09-01,361.9999999999999,859.504330903929,2.3743213560882026
bard,2025-01-01,562.0000000000001,737.433164298236,1.3121586553349391
bard,2025-02-01,581.0000000000002,955.33070059101,1.6442869201222197
bard,2025-03-01,463.99999999999983,679.900199455263,1.4653021539984121
bard,2025-04-01,565.0000000000001,831.167040590132,1.4710921072391714
bard,2025-05-01,742.9999999999998,1025.62163621587,1.3803790527804445
bard,2025-06-01,757,920.112045441221,1.2154716584428282
bard,2025-07-01,1160.9999999999995,1803.40285239067,1.5533185636439886
bard,2025-08-01,1480.0000000000005,2519.14902400276,1.7021277189207833
bard,2025-09-01,576.0000000000001,1395.44764404759,2.4226521598048434
brissogne,2025-01-01,42,55.4803182508722,1.3209599583541
brissogne,2025-02-01,39,64.0623734332939,1.6426249598280487
brissogne,2025-03-01,30,44.0094227185471,1.4669807572849034
brissogne,2025-04-01,23.999999999999996,35.8881208299763,1.4953383679156795
brissogne,2025-05-01,22,29.8209112527651,1.3554959660347772
brissogne,2025-06-01,40.00000000000001,47.8630468869921,1.1965761721748023
brissogne,2025-07-01,70,106.198990954603,1.5171284422086144
brissogne,2025-08-01,61.00000000000001,99.7204230145927,1.6347610330261095
brissogne,2025-09-01,36.99999999999999,86.2431032365592,2.3308946820691676
brusson,2025-01-01,2593.9999999999995,3355.38990375151,1.2935196236513147
brusson,2025-02-01,3306.0000000000027,5408.65188711295,1.6360108551460815
brusson,2025-03-01,1988.0000000000005,2879.94954011775,1.4486667706829726
brusson,2025-04-01,846.0000000000003,1222.32765204864,1.4448317400102122
brusson,2025-05-01,1073.0000000000005,1471.46096177761,1.3713522476958149
brusson,2025-06-01,2798.9999999999995,3485.04198084354,1.2451025297761846
brusson,2025-07-01,4777.000000000003,7553.36827784772,1.5811949503553937
brusson,2025-08-01,4881.000000000002,8081.77702803719,1.6557625544022099
brusson,2025-09-01,1805.0000000000002,4311.15157937714,2.388449628463789
challand saint anselme,2025-01-01,554,703.005138430393,1.2689623437371715
challand saint anselme,2025-02-01,463.99999999999983,725.921488542591,1.564485966686619
challand saint anselme,2025-03-01,315.00000000000006,452.653926249705,1.4369965912689047
