comune_key,performance_metric,Prophet,GAMM,Mixed
arvier,underperform_flag,high_gap,ok,ok
avise,n_obs,9,9,9
avise,MAE_kwh,24418.2071143376,30268.3091128332,26855.5770919986
avise,RMSE_kwh,26633.6918727331,32729.2785227791,29058.2238663694
avise,Bias_kwh,24418.2071143376,30268.3091128332,26855.5770919986
avise,MAPE_pct,49.7035959749313,59.9894426037223,53.5621607624296
avise,delta_from_best_RMSE,0,6095.58665004601,2424.53199363629
avise,underperform_flag,ok,high_gap,ok
ayas,n_obs,9,9,9
ayas,MAE_kwh,62948.9258734362,79923.5133785178,74703.7366983477
ayas,RMSE_kwh,68338.5471821989,97670.937993941,88135.6397143365
ayas,Bias_kwh,-9603.41360171062,49195.4891133883,-38893.0355354025
ayas,MAPE_pct,6.21374786190572,7.37946423491999,7.88174401608839
ayas,delta_from_best_RMSE,0,29332.3908117421,19797.0925321376
ayas,underperform_flag,ok,high_gap,ok
aymavilles,n_obs,9,9,9
aymavilles,MAE_kwh,18657.8198183126,27251.5217194225,15524.5934360686
aymavilles,RMSE_kwh,29983.4269617734,35413.8012812909,26424.2724251575
aymavilles,Bias_kwh,6133.93566847588,27251.5217194225,6256.31173430261
aymavilles,MAPE_pct,8.75998717791779,12.514695480479,7.43368716420393
aymavilles,delta_from_best_RMSE,3559.15453661586,8989.52885613339,0
aymavilles,underperform_flag,ok,high_gap,ok
bard,n_obs,9,9,9
bard,MAE_kwh,61118.8559817458,28761.6876527045,31992.1514890127
bard,RMSE_kwh,64183.381006019,41847.9714605074,43370.4473994058
bard,Bias_kwh,42140.2514486807,-22138.0284110632,-28122.1728752455
bard,MAPE_pct,43.8348842550634,15.4235762397065,17.2828230754323
bard,delta_from_best_RMSE,22335.4095455115,0,1522.47593889836
bard,underperform_flag,high_gap,ok,ok
bionaz,n_obs,9,9,9
bionaz,MAE_kwh,24878.864212495,22541.8919173793,21825.4096546397
bionaz,RMSE_kwh,25380.7849939417,23164.5281234824,22651.8284643955
bionaz,Bias_kwh,24878.864212495,22541.8919173793,21825.4096546397
bionaz,MAPE_pct,55.5759851248436,50.189210447948,49.2336193052414
bionaz,delta_from_best_RMSE,2728.95652954619,512.699659086946,0
bionaz,underperform_flag,high_gap,ok,ok
brissogne,n_obs,9,9,9
brissogne,MAE_kwh,27738.1291663502,33689.4805816265,18943.9315253778
brissogne,RMSE_kwh,32030.6633080446,39503.31873746,21260.4637011695
brissogne,Bias_kwh,-18892.9564485873,-30858.9237537582,-9805.57494121572
brissogne,MAPE_pct,5.43481358323472,6.44958091339255,3.73920100991421
brissogne,delta_from_best_RMSE,10770.1996068751,18242.8550362905,0
brissogne,underperform_flag,ok,high_gap,ok
brusson,n_obs,9,9,9
brusson,MAE_kwh,17885.8402957979,26449.5586969454,22773.6559133651
brusson,RMSE_kwh,22987.221979747,32903.5903441473,31787.5343118159
brusson,Bias_kwh,-5732.20272575962,16025.4265405431,4697.54238004791
brusson,MAPE_pct,7.9863807592379,10.6927448671321,9.56588691542271
brusson,delta_from_best_RMSE,0,9916.36836440026,8800.31233206884
brusson,underperform_flag,ok,high_gap,ok
challand saint anselme,n_obs,9,9,9
challand saint anselme,MAE_kwh,6523.56817636063,9041.91085612125,9286.90125345487
challand saint anselme,RMSE_kwh,10216.3770364107,12910.1739356394,12035.6297076985
challand saint anselme,Bias_kwh,663.324969345033,7430.19513617776,-2042.57346586842
challand saint anselme,MAPE_pct,7.34941503952495,10.3711446075191,9.43012124104298
challand saint anselme,delta_from_best_RMSE,0,2693.79689922876,1819.25267128777
challand saint anselme,underperform_flag,ok,high_gap,ok
challand saint victor,n_obs,9,9,9
challand saint victor,MAE_kwh,8269.8431891007,6522.97440161524,5185.08150604587
challand saint victor,RMSE_kwh,11917.2946180581,9214.1260210989,7663.96797427052
challand saint victor,Bias_kwh,6161.98746576162,5390.43631306392,145.133344199221
challand saint victor,MAPE_pct,16.0738629010843,12.6731586896539,10.3623537542642
challand saint victor,delta_from_best_RMSE,4253.32664378761,1550.15804682838,0
challand saint victor,underperform_flag,high_gap,ok,ok
chambave,n_obs,9,9,9
chambave,MAE_kwh,16335.2228749995,13101.6797452668,9214.95923858599
chambave,RMSE_kwh,19711.9727725872,15140.8472316648,10750.0162335697
chambave,Bias_kwh,14290.931834001,13101.6797452668,6211.19193176545
chambave,MAPE_pct,13.6763052287699,10.9967414606786,7.5282649824898
chambave,delta_from_best_RMSE,8961.95653901753,4390.83099809515,0
chambave,underperform_flag,high_gap,ok,ok
chamois,n_obs,9,9,9
chamois,MAE_kwh,11227.3345372633,11590.2816843302,11990.3567231485
chamois,RMSE_kwh,20142.433292688,14723.2230907047,13718.2404018767
chamois,Bias_kwh,-2634.51383711626,3713.71303311074,-581.819604914326
chamois,MAPE_pct,7.68214992979696,9.79394174931515,11.4380060570795
chamois,delta_from_best_RMSE,6424.19289081131,1004.98268882807,0
chamois,underperform_flag,high_gap,ok,ok
champdepraz,n_obs,9,9,9
champdepraz,MAE_kwh,10495.0660562167,6530.16545315389,7359.85340764483
champdepraz,RMSE_kwh,15028.1377303275,11875.8883452149,11549.0365942219
champdepraz,Bias_kwh,6425.19411661702,4036.94974758168,-737.559500811808
champdepraz,MAPE_pct,15.9233657762442,10.8461061811734,10.7658965934643
champdepraz,delta_from_best_RMSE,3479.10113610565,326.851750993077,0
champdepraz,underperform_flag,high_gap,ok,ok
champorcher,n_obs,9,9,9
champorcher,MAE_kwh,12686.8556187879,12940.3935831436,18096.4133580348
champorcher,RMSE_kwh,19139.3455252798,17439.0498170696,24214.4849234764
champorcher,Bias_kwh,-1996.22349458606,-3968.06187968041,-12970.0124293147
champorcher,MAPE_pct,6.95359418610106,8.0537294089264,9.71894152334916
champorcher,delta_from_best_RMSE,1700.2957082102,0,6775.43510640679
champorcher,underperform_flag,ok,ok,high_gap
charvensod,n_obs,9,9,9
charvensod,MAE_kwh,21242.7668959438,26652.4320004628,19145.1110814559
charvensod,RMSE_kwh,35918.9113385744,42378.9275600245,32846.6156965213
charvensod,Bias_kwh,4765.66172371185,26652.4320004628,8340.75548525962
charvensod,MAPE_pct,9.46577077461372,12.1951792915997,8.72850601680889
charvensod,delta_from_best_RMSE,3072.29564205309,9532.31186350313,0
charvensod,underperform_flag,ok,high_gap,ok
chatillon,n_obs,8,8,8
chatillon,MAE_kwh,134200.321728456,89742.0979373578,92643.2003449175
chatillon,RMSE_kwh,188880.221655847,123032.276842216,163885.515997001
chatillon,Bias_kwh,108250.132397345,-2512.90476465307,-55939.5696796073
chatillon,MAPE_pct,15.4509383486662,10.2260606912224,10.4827919857556
chatillon,delta_from_best_RMSE,65847.9448136306,0,40853.2391547847
chatillon,underperform_flag,high_gap,ok,ok
cogne,n_obs,9,9,9
cogne,MAE_kwh,74047.3843305202,51204.5555019917,62233.6646389274
cogne,RMSE_kwh,91655.6472807919,62828.1148426569,78751.4705784289
cogne,Bias_kwh,-59486.7064003886,9052.00373408684,-30288.394862706
cogne,MAPE_pct,11.1820936379023,9.33888153018756,10.0711089181355
cogne,delta_from_best_RMSE,28827.5324381349,0,15923.355735772
cogne,underperform_flag,high_gap,ok,ok
courmayeur,n_obs,9,9,9
courmayeur,MAE_kwh,248007.590858192,171762.30231098,203938.945629347
courmayeur,RMSE_kwh,283956.423937754,184368.611210212,234152.729099581
courmayeur,Bias_kwh,-102999.030767054,25949.6444216847,130577.966060192
courmayeur,MAPE_pct,12.0345357565984,9.72987670095408,11.3733681990859
courmayeur,delta_from_best_RMSE,99587.8127275416,0,49784.1178893682
courmayeur,underperform_flag,high_gap,ok,ok
donnas,n_obs,9,9,9
donnas,MAE_kwh,22156.6491739801,20670.8593192747,23001.1079781823
donnas,RMSE_kwh,31126.9104308552,30911.950860217,29373.5127142572
donnas,Bias_kwh,-4351.31266183875,18415.95405893,-10564.4953014592
donnas,MAPE_pct,8.46254139283516,8.50109744911171,8.28704880779456
donnas,delta_from_best_RMSE,1753.39771659803,1538.43814595989,0
donnas,underperform_flag,high_gap,ok,ok
doues,n_obs,9,9,9
doues,MAE_kwh,3313.17181707679,2955.72965842185,4557.45581676749
doues,RMSE_kwh,3767.78225271533,3510.29759958015,4915.75608684455
doues,Bias_kwh,572.535906109385,-2689.23248411814,-4557.45581676749
doues,MAPE_pct,27.8610896966985,23.3389712040608,37.1219674470364
doues,delta_from_best_RMSE,257.484653135182,0,1405.4584872644
doues,underperform_flag,ok,ok,high_gap
emarese,n_obs,9,9,9
emarese,MAE_kwh,3529.4473418912,3483.42456028095,2997.08991081774
emarese,RMSE_kwh,4959.43373145621,4863.84173091562,4725.37800974252
emarese,Bias_kwh,-704.601460177917,2313.15079744979,1192.57604932396
emarese,MAPE_pct,15.4237170776665,15.6822079815075,13.8530670756133
emarese,delta_from_best_RMSE,234.055721713694,138.463721173104,0
emarese,underperform_flag,high_gap,ok,ok
etroubles,n_obs,9,9,9
etroubles,MAE_kwh,7260.88527062385,9623.11121068601,7144.1730904326
etroubles,RMSE_kwh,11410.8575210244,12858.638386245,8656.40835494675
etroubles,Bias_kwh,5876.65506443847,9623.11121068601,-2753.14129830973
etroubles,MAPE_pct,8.72139325978145,11.3754739839676,8.11240149852185
etroubles,delta_from_best_RMSE,2754.44916607765,4202.2300312982,0
etroubles,underperform_flag,ok,high_gap,ok
