comune_key,model,n_obs,RMSE_kwh,MAE_kwh,MAPE_pct,delta_from_best_RMSE,underperform_flag
perloz,Mixed,9,8952.959945786764,7504.587799557668,9.08986584300268,821.4214792766716,ok
jovencan,Mixed,9,11304.019476898227,7985.908142641685,8.340947749775689,795.1172028586225,ok
hone,Prophet,9,19164.201147039163,13363.500955541487,11.665336570199761,763.8150439824713,ok
oyace,GAMM,9,3104.157444765881,2243.244977072413,10.262230115389437,632.4251258355821,high_gap
rhemes notre dame,GAMM,9,14894.679611157662,13582.590037492824,22.016935860191094,614.4266890780254,ok
torgnon,Prophet,9,33432.9188519073,25055.472840527065,12.635041806205184,609.2970700725928,ok
bionaz,GAMM,9,23164.52812348242,22541.891917379282,50.18921044794802,512.6996590869458,ok
valpelline,GAMM,9,73970.62991621988,58428.16350725709,251.518342111704,484.5397017741925,ok
lillianes,GAMM,9,7565.252194685713,6833.893827281296,15.613298315832658,461.46171780196073,ok
champdepraz,GAMM,9,11875.888345214946,6530.165453153886,10.846106181173392,326.8517509930771,ok
saint nicolas,Mixed,9,6261.3680106466245,5091.901602090565,8.89605481394226,309.8870426528938,high_gap
fontainemore,Prophet,9,5800.681773344144,3426.492969621711,8.385214723910698,282.9438368496021,ok
la magdeleine,Mixed,9,5331.527695186967,4019.246279319679,33.043669658230776,276.68021150498225,high_gap
ollomont,Mixed,9,4964.413851290558,2690.194629475172,10.264414753533595,267.5649217638038,ok
arvier,GAMM,9,13351.448918659666,7966.390913583455,8.183142258575247,265.64374107120966,ok
la magdeleine,Prophet,9,5319.664501571614,4329.061569488897,31.100259114727578,264.8170178896289,ok
doues,Prophet,9,3767.7822527153285,3313.171817076794,27.861089696698464,257.4846531351818,ok
emarese,Prophet,9,4959.433731456214,3529.4473418911953,15.423717077666458,234.05572171369386,high_gap
pontboset,Mixed,9,2380.9332724836154,1736.1997271768334,8.805007919174876,207.33663184837042,ok
saint rhemy en bosses,GAMM,9,25373.44515381397,16814.396134506722,10.322023499821393,205.87813687181915,ok
saint nicolas,GAMM,9,6152.298110281147,4267.816690484153,8.21688535201767,200.81714228741657,ok
oyace,Mixed,9,2629.802886200454,1739.6023512857873,7.948435971366181,158.07056727015515,ok
emarese,GAMM,9,4863.841730915625,3483.4245602809533,15.682207981507517,138.4637211731042,ok
issime,Mixed,9,8816.701732393662,6934.940734544778,11.411733415565369,115.11461758685073,ok
saint oyen,Mixed,9,4704.23472598725,3594.776694095701,9.948066694243975,29.395993519070544,ok
allein,Prophet,8,2910.1582374262016,2246.460298671451,80.89678242485611,0,ok
antey saint andre,Prophet,9,17271.40130590613,11129.83268971763,8.638799182738701,0,ok
aosta,Mixed,9,411186.3589824567,298861.9833589896,4.872625103686841,0,ok
arnad,Mixed,9,21024.128618563213,16744.146947699035,4.948412721365856,0,ok
arvier,Mixed,9,13085.805177588456,8678.942731447249,8.001242253085007,0,ok
avise,Prophet,9,26633.69187273311,24418.2071143376,49.70359597493129,0,ok
ayas,Prophet,9,68338.5471821989,62948.92587343619,6.213747861905721,0,ok
aymavilles,Mixed,9,26424.27242515751,15524.593436068619,7.433687164203932,0,ok
bard,GAMM,9,41847.97146050744,28761.687652704517,15.423576239706549,0,ok
bionaz,Mixed,9,22651.828464395476,21825.40965463965,49.233619305241355,0,ok
brissogne,Mixed,9,21260.46370116951,18943.931525377808,3.7392010099142086,0,ok
brusson,Prophet,9,22987.221979747035,17885.840295797927,7.986380759237896,0,ok
challand saint anselme,Prophet,9,10216.377036410682,6523.568176360628,7.3494150395249465,0,ok
challand saint victor,Mixed,9,7663.96797427052,5185.081506045872,10.362353754264197,0,ok
chambave,Mixed,9,10750.016233569691,9214.959238585994,7.528264982489802,0,ok
chamois,Mixed,9,13718.240401876677,11990.356723148509,11.438006057079502,0,ok
champdepraz,Mixed,9,11549.036594221869,7359.853407644826,10.765896593464328,0,ok
champorcher,GAMM,9,17439.04981706963,12940.393583143572,8.053729408926403,0,ok
charvensod,Mixed,9,32846.61569652133,19145.111081455878,8.728506016808888,0,ok
chatillon,GAMM,8,123032.27684221642,89742.09793735782,10.226060691222404,0,ok
cogne,GAMM,9,62828.114842656934,51204.55550199167,9.338881530187559,0,ok
courmayeur,GAMM,9,184368.61121021246,171762.30231097998,9.729876700954078,0,ok
donnas,Mixed,9,29373.512714257162,23001.107978182325,8.287048807794559,0,ok
doues,GAMM,9,3510.2975995801467,2955.729658421848,23.338971204060808,0,ok
emarese,Mixed,9,4725.378009742521,2997.0899108177423,13.85306707561334,0,ok
etroubles,Mixed,9,8656.408354946752,7144.173090432602,8.112401498521853,0,ok
fenis,GAMM,9,21416.1972141591,14044.690690576752,8.685333215893627,0,ok
fontainemore,Mixed,9,5517.737936494542,4101.9585596264005,9.106052982239115,0,ok
gaby,Prophet,8,13823.33140913869,11853.519918007176,15.709934016634698,0,ok
gignod,GAMM,9,6591.8603509271825,5834.696495260512,9.40174319300177,0,ok
gressan,GAMM,9,54758.145514564974,37238.67691253694,5.011150976237017,0,ok
gressoney la trinite,Mixed,9,48433.723789696145,41542.3018415669,9.945113455847823,0,ok
gressoney saint jean,Mixed,9,46815.87278625956,39569.86057895254,15.943933992087956,0,ok
hone,Mixed,9,18400.38610305669,12275.409883005292,11.07042536426064,0,ok
introd,Mixed,9,9034.86740238429,5236.794870835463,7.344813991789037,0,ok
issime,GAMM,9,8701.58711480681,7243.098243576145,11.84662846451726,0,ok
issogne,Mixed,9,17267.93505423368,15978.537821807236,8.467385013815084,0,ok
jovencan,GAMM,9,10508.902274039605,7433.88791635692,8.399872127493346,0,ok
la magdeleine,GAMM,9,5054.847483681985,3938.930453448871,31.677756314006505,0,ok
la salle,GAMM,9,39104.307610832926,30349.31619982562,8.331637110914295,0,ok
la thuile,GAMM,9,185653.07923573937,147359.5991599643,23.23707030223104,0,ok
lillianes,Mixed,9,7103.7904768837525,6335.134384818863,14.773439465453958,0,ok
montjovet,Mixed,9,21604.630930724263,14916.61048498457,9.200583404527931,0,ok
morgex,Mixed,9,137753.30651562024,111945.05246954113,12.014831477915413,0,ok
nus,Mixed,9,35871.843758534415,23647.98340927801,10.614812777685337,0,ok
ollomont,Prophet,9,4696.8489295267545,3342.148630775629,11.12901681226745,0,ok
oyace,Prophet,9,2471.732318930299,1890.881638899788,7.92582617038215,0,ok
perloz,GAMM,9,8131.538466510093,6543.167931659216,8.18802795324942,0,ok
pollein,GAMM,9,29893.82174208424,25612.499124433016,6.20652094240684,0,ok
pont saint martin,Prophet,9,438310.9645211173,435227.62380053086,59.63093599487592,0,ok
pontboset,GAMM,9,2173.596640635245,1232.9332512224748,7.140495218919867,0,ok
pontey,Prophet,9,14151.138309944827,12259.824987839245,10.40536649200661,0,ok
pre saint didier,GAMM,9,19013.099254442153,13446.191588960362,5.877252304475206,0,ok
quart,Mixed,9,64319.10963291139,41658.35709049703,8.266190961956768,0,ok
rhemes notre dame,Mixed,9,14280.252922079637,13777.261689612646,23.089686322392467,0,ok
rhemes saint georges,Prophet,9,7158.131921090153,5423.942997838144,11.117888442407915,0,ok
roisan,Mixed,9,15059.161073894094,8891.386171219956,11.30984026207707,0,ok
saint christophe,GAMM,9,16692.05807949534,14354.354930753083,4.374734543799328,0,ok
saint denis,Prophet,8,19783.95735276108,18110.71002114591,56.98953990615463,0,ok
saint marcel,GAMM,9,32747.67365269638,26549.721432253387,9.541061815043298,0,ok
saint nicolas,Prophet,9,5951.480967993731,4170.931319593785,7.310978291003117,0,ok
saint oyen,GAMM,9,4674.83873246818,3148.921690065742,10.127653869176099,0,ok
saint pierre,GAMM,9,28446.972224978002,17103.416171342535,5.121600659116277,0,ok
saint rhemy en bosses,Prophet,9,25167.56701694215,19265.925611724655,12.72223678075288,0,ok
saint vincent,Mixed,9,56999.988171899364,46871.11375679169,3.5210333615510425,0,ok
sarre,Mixed,9,58503.75145083904,35601.371996161644,9.581329984702492,0,ok
torgnon,Mixed,9,32823.62178183471,24322.251213310494,11.083337298372163,0,ok
valgrisenche,Mixed,9,31602.63411665105,30616.890876301262,59.75304453601805,0,ok
valpelline,Mixed,9,73486.09021444569,56902.06035435929,241.6231550689416,0,ok
valsavarenche,Prophet,9,8299.020044936695,7000.622879020582,15.313547451822357,0,ok
valtournenche,Mixed,9,55196.70651533844,43671.842494219454,2.4101075070960376,0,ok
verrayes,GAMM,9,11827.320036498757,9057.008814963272,5.9940035908097755,0,ok
verres,GAMM,9,111345.04634117238,99888.47820260811,11.54025278235928,0,ok
villeneuve,Mixed,9,17563.057674133794,15039.806775938845,8.107507254785238,0,ok
