comune_key,GAM,LM,MixedModel,QuantileGBM,RF,XGB
la thuile,197293.11484994576,231918.32534125727,153681.92175994447,100478.69738179178,165112.75911643624,109823.7768717503
lillianes,5964.071666442025,5092.293482643341,6475.9074125697525,7323.8979165241835,5596.607885268423,6023.113819960549
montjovet,17182.819207318942,11773.470400421826,15796.487938836362,18053.290356874524,19228.548512143854,19200.953455995885
morgex,145171.58768152678,142260.10359749984,144339.33603267762,106967.8953543509,112225.06294969057,126241.1512253322
nus,23250.465828259454,22686.794212927573,21749.844136450545,18441.976751345115,19475.458624734558,22330.89685811051
ollomont,5088.964973163605,3056.6883111917973,4872.1119763645665,4049.050282926277,4823.916430477116,5354.6799432787375
oyace,2358.631354256762,2558.837274431853,2342.169192590123,1570.4687143766484,1875.5746577821203,2134.0927206051415
perloz,4867.351989412051,4512.870146030254,5349.539369617993,8484.94611796805,8928.476858560676,8232.9923048054
pollein,29598.27523086418,46474.98381889147,27735.43039643262,28717.43960980633,23823.488675228313,26266.1688884893
pont saint martin,513476.3874983681,559013.3797186512,498943.8627472475,515306.0575666855,532725.0738015962,510187.83433019544
pontboset,1351.4247461375273,1719.7476001051054,1348.6571455038948,1868.9003116277113,1567.9751429807602,1386.0026447929004
pontey,18110.246129079947,17588.2574233536,18451.19178986136,16752.06544095903,17409.175498714063,17420.381995952288
pre saint didier,14800.094198067582,25364.193573787423,16604.179185468056,20456.68648668767,15325.642183310323,15457.84194730808
quart,48952.91619205703,46383.87598819952,47494.02418382011,45838.72168576537,42212.12797032921,45689.16179181375
rhemes notre dame,8793.572283936783,9247.351462866445,15410.408374970873,7130.775671142004,8720.514390841585,7725.420289750284
rhemes saint georges,7404.084690358326,5802.95005656157,6675.474360671608,7841.515493153551,7360.695668434398,7204.395600449933
roisan,14110.840974927505,10642.632285521355,11896.875278583399,11648.55957878062,8503.41285860066,9112.066378207055
saint christophe,22503.90688938755,31332.06289845236,18227.425239947075,23840.587728086393,27946.650543991593,27311.06538836623
saint marcel,23543.775466949915,21532.267288076735,23615.544676257676,21178.173345805506,24549.763154574972,22432.474659305168
saint nicolas,4499.403644787714,4325.81552763029,5111.579513965898,49357.32948930302,3328.3072061161856,3642.7613598075063
saint oyen,3764.3109339131315,3496.088991243977,3694.242856654999,52611.728863737575,4627.275117675401,4504.965787740835
saint pierre,15091.087399178035,23219.078410816295,17969.823553585156,178373.46173759928,20761.52948603908,18058.481057120676
saint rhemy en bosses,18431.081361161137,21101.754012983227,18518.201095697947,88131.32999666773,21038.25178284609,18407.651915238133
saint vincent,148594.69358919133,82951.97155661107,186661.4752735451,398946.4902776017,57426.258147274995,85948.95300764001
