comune_key,Consumo_Base_MWh,Mixed_Mediano_q50_MWh,Mixed_Picco_q95_MWh,GAMM_Mediano_q50_MWh,GAMM_Picco_q95_MWh,Prophet_Mediano_q50_MWh,Prophet_Picco_q95_MWh,Delta_Mixed_Picco_MWh,Delta_GAMM_Picco_MWh,Delta_Prophet_Picco_MWh
gignod,540.716,463.8641054571857,482.00656236500487,487.2580868038621,517.1215553313392,632.9393695032227,630.7343162577836,-58.70943763499514,-23.5944446686608,90.01831625778357
gressan,9367.896,8946.316489459223,9261.566450366976,9493.116152889248,9840.301747078336,8782.981154919938,9142.505091081632,-106.32954963302473,472.4057470783355,-225.39090891836895
gressoney la trinite,5133.281999999999,5046.821215999415,5217.03970872879,5543.195800189756,5687.897874477987,5455.991048368507,5609.330177545608,83.75770872879093,554.6158744779877,476.0481775456092
gressoney saint jean,2882.788,2973.7201483829867,3089.774304883441,3277.25470311102,3474.9831152460397,3031.276865242769,3025.3694940887085,206.98630488344088,592.1951152460397,142.5814940887085
hone,1269.861,1371.9993556132288,1369.9752687151733,1410.1008680500024,1414.8963597413442,1383.5698099357137,1360.4511360990768,100.11426871517324,145.0353597413441,90.59013609907674
introd,844.5780000000002,857.9316774976427,862.7920043479633,920.3819591481988,944.4614700037092,871.1677736272445,880.1960445948666,18.214004347963055,99.88347000370902,35.61804459486643
issime,610.619,587.6374695214525,588.8649520586014,580.3702249757318,590.3882590977711,667.1549441330372,679.9414351076485,-21.754047941398653,-20.230740902228945,69.32243510764852
issogne,1710.4319999999993,1616.944083052041,1615.6149605547675,1641.962781427586,1657.0115890709278,1775.7038441834138,1761.4822639282254,-94.81703944523179,-53.42041092907152,51.05026392822606
jovencan,963.4770000000002,955.5290009143533,957.4900947502356,985.760228442517,1005.9726223668189,1010.4174166403174,1018.2598350294573,-5.986905249764618,42.49562236681868,54.782835029457146
la magdeleine,202.00999999999996,223.90644101926608,231.00096590007107,230.0340068335368,238.43811697390348,215.20251357934424,214.75555285289752,28.990965900071103,36.428116973903514,12.74555285289756
la salle,3824.524,3561.4907257288687,3606.428459413837,3771.941890590044,3942.1334466535336,3756.5420991658284,3825.982362431791,-218.09554058616277,117.60944665353372,1.4583624317911017
la thuile,6828.5,7229.134421428734,7472.758972108078,7419.301407811683,7559.004640752304,5776.808340008479,6021.418383733847,644.2589721080776,730.5046407523041,-807.0816162661531
lillianes,409.1,374.36459456419504,373.87005684956364,368.1911578325447,377.0685247825412,472.5150226731157,474.2878568491106,-35.229943150436384,-32.03147521745882,65.18785684911057
montjovet,1756.116,1737.0052582272356,1739.3971924264322,1851.2278939992505,1882.8141253986003,2018.7608368534934,2017.0257791866568,-16.7188075735678,126.69812539860027,260.9097791866568
morgex,8981.689,9845.424395646623,10014.90302126264,10016.620697521832,10392.847465605266,10778.623901287703,10728.231176121917,1033.21402126264,1411.1584656052655,1746.5421761219168
nus,2626.3569999999995,2614.0782304006602,2625.8732412795907,2829.3278387748414,2944.991651629031,2700.002515748093,2712.6107161684085,-0.48375872040878676,318.6346516290314,86.25371616840903
ollomont,339.802,350.23148158863853,358.2172489023509,377.30003250195523,384.89897417533757,353.594758449072,352.5277905699783,18.415248902350868,45.09697417533755,12.725790569978301
oyace,233.55,241.59868451238017,241.32205687259952,250.7164049509351,252.0687492305729,226.3464458582306,226.32137060246635,7.7720568725995065,18.518749230572894,-7.228629397533666
perloz,742.096,698.8786853325477,701.6737391496306,712.6405098496613,724.7557979838591,831.51321154701,825.537758409869,-40.42226085036941,-17.340202016140893,83.44175840986895
pollein,3859.672,3523.8998148287847,3652.1434049715544,3864.87597181059,4055.5233266760947,3695.8534538716403,3617.1830555444226,-207.52859502844558,195.8513266760947,-242.48894445557744
pont saint martin,6678.411,11307.694759323394,11262.291345978307,11107.259615086497,11414.284396576662,10608.911618817085,10296.483614556506,4583.880345978307,4735.873396576662,3618.072614556506
pontboset,199.80500000000006,195.20446707197098,198.6787017282048,206.6422901049882,215.27651995196166,223.1494201283428,222.82093393931206,-1.1262982717952639,15.471519951961596,23.015933939311992
pontey,1050.4330000000002,862.2255748761252,857.2974523672882,868.6027690560411,884.3078607539078,999.7659039991676,997.7158144092493,-193.13554763271202,-166.12513924609243,-52.71718559075089
pre saint didier,2421.819,2275.05325259546,2351.4839449668934,2418.3977904911562,2537.937309066192,2482.7560501196276,2635.86926423222,-70.33505503310653,116.11830906619207,214.0502642322199
quart,5768.788999999999,5945.42485339307,5976.855452807799,6117.221739536498,6278.979494765437,6288.743072524234,6341.628563298518,208.0664528078005,510.1904947654384,572.8395632985194
