comune_key,comune_nome,Consumo_Base_MWh,Consumo_Mediano_q50_MWh,Consumo_Picco_q95_MWh,Delta_Picco_Assoluto_MWh,Variazione_Percentuale_Picco
aymavilles,Aymavilles,2394.3980000000006,2462.735741414772,2491.555638788728,97.15763878872758,4.05770631234772
antey saint andre,Antey-Saint-André,1474.3139999999999,1514.6884046471712,1532.7952320735478,58.48123207354797,3.966674132752451
quart,Quart,5768.788999999999,5960.334609345547,5997.23113139925,228.4421313992516,3.9599668387810967
saint vincent,Saint-Vincent,12291.660000000002,12323.5650345574,12774.193041118173,482.53304111817124,3.925694667100873
sarre,Sarre,4258.04,4397.307871147044,4422.479713003364,164.43971300336398,3.861863979750401
oyace,Oyace,233.55,242.20360392625082,241.97361980948833,8.423619809488315,3.606773628554192
ayas,Ayas,10477.348999999998,10156.601062180618,10816.338581549157,338.9895815491582,3.2354518452058647
roisan,Roisan,983.246,1006.0540746295186,1013.5327793048623,30.286779304862307,3.0802850258086285
challand saint victor,Challand-Saint-Victor,627.1169999999997,633.7336997048714,643.8836485170442,16.766648517044473,2.6736077186624634
introd,Introd,844.5780000000002,861.1043773941366,865.3521946795935,20.77419467959328,2.459712978504445
gressoney la trinite,Gressoney-La-Trinité,5133.281999999999,5092.945127721569,5257.572812905782,124.29081290578233,2.4212738147988433
chamois,Chamois,1116.6010000000003,1114.3705677581227,1140.8739793079,24.272979307899732,2.173827473546927
aosta,Aosta,60423.76099999999,62000.11561268609,61612.3414775745,1188.5804775745055,1.9670746373674184
saint nicolas,Saint-Nicolas,563.208,567.3801363093123,572.1804912012445,8.972491201244566,1.5931043595340562
verrayes,Verrayes,1415.2100000000005,1442.971218834453,1423.7414949622155,8.531494962214992,0.6028430382921962
fontainemore,Fontainemore,485.536,487.9917537265838,487.5783055810502,2.0423055810501864,0.42062907406457734
nus,Nus,2626.3569999999995,2622.2023913910293,2633.907841238379,7.5508412383796895,0.2875024697091709
saint oyen,Saint-Oyen,349.21000000000004,344.8247305496298,349.6829207249398,0.47292072493974047,0.13542588268942482
arvier,Arvier,1154.483,1148.9245682277417,1155.991497169895,1.5084971698950085,0.13066430340637397
montjovet,Montjovet,1756.116,1750.1974704170646,1753.401385298915,-2.7146147010848836,-0.15458060293766948
champdepraz,Champdepraz,782.0050000000001,778.587839930742,780.6221255146402,-1.3828744853599346,-0.1768370388117639
etroubles,Etroubles,857.7230000000002,835.9125956075679,856.1665090108116,-1.5564909891885463,-0.18146779195480897
pontboset,Pontboset,199.80500000000006,195.82179714871626,199.11302556775942,-0.6919744322406416,-0.3463248828811298
challand saint anselme,Challand-Saint-Anselme,969.6660000000002,954.5742948077952,964.604454699462,-5.061545300538114,-0.5219885301266739
gressan,Gressan,9367.896,8992.610424443148,9303.884350100774,-64.01164989922654,-0.6833087162712581
cogne,Cogne,5424.3870000000015,5155.781345465836,5380.2965361708,-44.090463829201326,-0.8128192886901564
saint pierre,Saint-Pierre,3571.2050000000004,3501.9373165008556,3531.2899369952243,-39.91506300477613,-1.117691731636132
jovencan,Jovençan,963.4770000000002,951.0988718227868,951.6417447912158,-11.83525520878436,-1.2283900091838578
arnad,Arnad,2927.598000000001,2758.8924713012566,2871.4881083457494,-56.10989165425144,-1.9165845739152514
brissogne,Brissogne,4593.609,4491.700136661319,4495.916369969243,-97.69263003075775,-2.1267075632853767
donnas,Donnas,2621.7699999999995,2543.2411978505424,2559.649844859656,-62.12015514034374,-2.3693975879022093
pre saint didier,Pré-Saint-Didier,2421.819,2284.2419754815423,2358.043673385404,-63.775326614596,-2.6333646987902894
issime,Issime,610.619,587.9050480451649,588.827935336208,-21.791064663791985,-3.568684345523474
fenis,Fénis,1774.624,1686.8395849171782,1699.234941963052,-75.38905803694797,-4.248170769523458
villeneuve,Villeneuve,1724.164,1648.8094781819002,1644.8886317535696,-79.27536824643039,-4.5979018380171714
champorcher,Champorcher,1463.207,1352.5965543823131,1394.389062600058,-68.81793739994214,-4.703226365096814
la salle,La Salle,3824.524,3589.231579670135,3636.648169656411,-187.87583034358886,-4.912397734818473
issogne,Issogne,1710.4319999999993,1621.5649149035557,1621.1465516483672,-89.28544835163211,-5.220052498528568
perloz,Perloz,742.096,700.3603466334923,703.0638574710226,-39.032142528977374,-5.259716064899606
