comune_key,GAM,LM,MixedModel,QuantileGBM,RF,XGB
nus,0.11222462943983935,0.10431639449580582,0.10530781549640812,0.09836846487276445,0.1000596447419274,0.10754040803550631
ollomont,0.1712027992552117,0.1041396090940879,0.16440067057547314,0.14422924283990207,0.1678825066973059,0.17988358857999967
oyace,0.10471886271691759,0.11190566966086553,0.10130253803904474,0.07505411951186554,0.0875936292073977,0.09683580688369486
perloz,0.0637907689533772,0.058265787144144175,0.06883218323592849,0.1049826735086308,0.11173998225553686,0.10163236147261594
pollein,0.06639461990781911,0.10197087440905878,0.06422257135110866,0.06689533678294293,0.055613685887637834,0.06166048228773068
pont saint martin,0.7022295658870294,0.7606958601753346,0.6818212667804076,0.7093199724693352,0.731592206534974,0.7018442285097087
pontboset,0.08054258711435398,0.0874453238843924,0.07884331727466282,0.10947132105443459,0.08601188090809099,0.08289355786081762
pontey,0.15424317674363844,0.15131598605707133,0.15608719324970854,0.13984816137942366,0.14686579634152824,0.14679557802437987
pre saint didier,0.0648530056209352,0.09873604334853459,0.06994216966450056,0.08609198669802097,0.068930441066807,0.06834629959883935
quart,0.09652519207809855,0.09015440440935531,0.09252260106325547,0.09072208619322282,0.08373931544485445,0.08668265330724982
rhemes notre dame,0.14336751207408754,0.1532815607066838,0.23380358145512253,0.11811901879251796,0.12252935303611998,0.15104796173017218
rhemes saint georges,0.15747555261969434,0.12628947747105013,0.14803398808005974,0.1773052692090199,0.15856674844235982,0.16109432230215015
roisan,0.18889456730348314,0.14270321341577466,0.1520964037756051,0.14552635589959173,0.12020322486792875,0.1270942796707376
saint christophe,0.06732184683856515,0.09501187483854454,0.05474369720537288,0.07054798288357957,0.08490729443100156,0.08168622361921445
saint marcel,0.08688985149895176,0.0790976445820111,0.0852863131514943,0.07971416136670047,0.08898124647893216,0.0849429088941903
saint nicolas,0.0818114991411103,0.07500001443850642,0.09531592401743884,0.8280006700580302,0.06339061729932365,0.07183643970960647
saint oyen,0.12043967982601343,0.0964428083563267,0.12016510901583996,1.433556679459223,0.14816984690064203,0.14306833120797738
saint pierre,0.04565494878767666,0.06266494848418523,0.05279991324579852,0.46554437812623195,0.061416732092200915,0.054849701189109944
saint rhemy en bosses,0.11556014859724262,0.11842116861038443,0.11103204375979682,0.5066474602203815,0.11573864132992794,0.1044339026670496
saint vincent,0.113573072073181,0.0585774201025291,0.14122523257599004,0.29901046233184997,0.045639850173350364,0.06656769737817096
sarre,0.12350624063825325,0.09434662354652652,0.1163250640947669,0.5785964409839017,0.13257884439453776,0.12933005571078013
torgnon,0.11705243061437487,0.12802426007064754,0.1730003404119384,0.5728784887307221,0.11121451650976653,0.10756427695366087
valgrisenche,0.6235157629121949,0.6436029866566559,0.6008230057473525,1.5336126299888844,0.6171986727512621,0.6464807081871731
valpelline,2.547143297165273,2.3792931691296433,2.3141532883671623,5.391107919234227,2.5799352173793952,2.671197005061962
valsavarenche,0.21346654202247148,0.19349904555924868,0.223348251889211,1.1915428352136583,0.179240935676256,0.1953100325477543
valtournenche,0.08251771217341888,0.07328464433357323,0.07770203470455302,0.22619498630775428,0.08637447935593338,0.07141220795534546
verrayes,0.07221694546884912,0.09294089322554924,0.07303942691817698,0.5420970632441207,0.07795021866909668,0.07037923850580975
verres,0.12229394816600724,0.24492157272066506,0.08915045209111135,0.08116807844590251,0.2111639225888229,0.1989569893076839
villeneuve,0.07836973566309696,0.05811492768379585,0.08552646076681163,0.3806647103827722,0.084860599417014,0.08565049110978623
