comune_key,comune_nome,Consumo_Base_kWh_2025,Consumo_Simulato_Turismo_2025,Totale_Arrivi_Bootstrap,Delta_Assoluto_kWh,Variazione_Percentuale
brusson,Brusson,2558159.0000000005,2502477.0129524237,23895.666522605694,-55681.98704757681,-2.1766429314040607
saint pierre,Saint-Pierre,3571205.0000000005,3520343.2027479485,8293.929249501802,-50861.797252052,-1.4242194791968537
gressoney saint jean,Gressoney-Saint-Jean,2882788,2923997.633804727,28768.84764726058,41209.63380472688,1.4295062212249698
saint vincent,Saint-Vincent,12291660.000000002,12253488.484546326,60080.8658932869,-38171.51545367576,-0.310548090767852
perloz,Perloz,742096,703984.4261367889,890.6248343332034,-38111.57386321109,-5.135666256550512
lillianes,Lillianes,409100,373222.09967719886,1907.4122066363236,-35877.90032280114,-8.769958524273074
antey saint andre,Antey-Saint-André,1474313.9999999998,1508586.9740632803,16432.667422769275,34272.974063280504,2.324672631697217
rhemes saint georges,Rhêmes-Saint-Georges,504190.99999999994,536436.5888850137,5011.82578357665,32245.58888501377,6.395510607094092
verrayes,Verrayes,1415210.0000000005,1447332.4407757495,3725.9677433675397,32122.44077574904,2.269800296475366
doues,Doues,106635,76154.67924952693,2472.7683643114265,-30480.320750473067,-28.583786515190194
montjovet,Montjovet,1756116,1786068.9781952968,4673.232315669119,29952.978195296833,1.7056377935909035
etroubles,Etroubles,857723.0000000002,829934.0493202741,14775.14881334629,-27788.950679726084,-3.2398514065410486
valsavarenche,Valsavarenche,497158,523220.79217476846,29430.68060840715,26062.79217476846,5.242355986380278
chamois,Chamois,1116601.0000000002,1094163.537028904,3109.9194428973,-22437.46297109616,-2.0094432094451067
introd,Introd,844578.0000000002,866074.4615949356,4687.193139078397,21496.46159493539,2.545231061540247
challand saint victor,Challand-Saint-Victor,627116.9999999998,647385.0415805108,325.1386167279485,20268.041580511024,3.2319394276524207
issime,Issime,610619,590926.7252467753,861.117601012655,-19692.274753224687,-3.224969212098655
courmayeur,Courmayeur,18221977.999999996,18239319.809258945,241184.49527917715,17341.80925894901,0.09516974095210198
challand saint anselme,Challand-Saint-Anselme,969666.0000000001,953537.7486049789,4974.318417008741,-16128.251395021216,-1.6632790460860973
emarese,Emarèse,263263.99999999994,279248.7047738257,393.4618234398079,15984.704773825768,6.071739688611346
ollomont,Ollomont,339802,355555.2329255158,984.8908992833459,15753.232925515797,4.63600359194937
saint nicolas,Saint-Nicolas,563208,574156.548827543,3199.980957133491,10948.54882754304,1.9439618804319256
oyace,Oyace,233550,243465.9810939259,63.783771032974684,9915.98109392589,4.245763688257713
la magdeleine,La Magdeleine,202009.99999999997,211248.38271727695,980.152921899407,9238.382717276982,4.573230393186963
nus,Nus,2626356.9999999995,2635344.522633431,13732.2457110381,8987.52263343148,0.34220491096341743
pontboset,Pontboset,199805.00000000006,193505.20601911418,2034.3819742339492,-6299.793980885879,-3.1529711373018077
arvier,Arvier,1154483,1160201.406239225,8820.85230907853,5718.4062392250635,0.4953218227747887
fontainemore,Fontainemore,485536,483628.4585580556,2102.0179935655506,-1907.5414419444278,-0.3928733280219031
jovencan,Jovençan,963477.0000000002,961804.3052652803,5472.588743347266,-1672.6947347199311,-0.17361024027765382
saint oyen,Saint-Oyen,349210.00000000006,347785.47969974665,3670.698134496109,-1424.5203002534108,-0.40792654856774163
roisan,Roisan,983246,982568.0033169661,1375.0559993934485,-677.9966830338817,-0.06895493935738174
champdepraz,Champdepraz,782005.0000000001,782144.5883678923,3017.1176376641574,139.5883678921964,0.01785006079145228
