"comune_key","Prophet_MAPE_pct","GAMM_MAPE_pct","Mixed_MAPE_pct","Best_Model","Best_MAPE_pct","Rank","assignment_status"
"sarre","10.131035685677","12.9720310740759","9.58132998470249","Mixed","9.58132998470249","40","assigned"
"courmayeur","12.0345357565984","9.72987670095408","11.3733681990859","GAMM","9.72987670095408","41","assigned"
"gressoney la trinite","13.9756403726333","14.9244505169997","9.94511345584782","Mixed","9.94511345584782","42","assigned"
"saint oyen","13.8095114078133","10.1276538691761","9.94806669424398","Mixed","9.94806669424398","43","assigned"
"chatillon","15.4509383486662","10.2260606912224","10.4827919857556","GAMM","10.2260606912224","44","assigned"
"ollomont","11.1290168122674","14.6325975841231","10.2644147535336","Mixed","10.2644147535336","45","assigned"
"saint rhemy en bosses","12.7222367807529","10.3220234998214","13.6232944782917","GAMM","10.3220234998214","46","assigned"
"challand saint victor","16.0738629010843","12.6731586896539","10.3623537542642","Mixed","10.3623537542642","47","assigned"
"pontey","10.4053664920066","16.9830557978467","17.7247476289247","Prophet","10.4053664920066","48","assigned"
"nus","10.9960573237065","11.2481826381042","10.6148127776853","Mixed","10.6148127776853","49","assigned"
"champdepraz","15.9233657762442","10.8461061811734","10.7658965934643","Mixed","10.7658965934643","50","assigned"
"hone","11.6653365701998","12.9071300138852","11.0704253642606","Mixed","11.0704253642606","51","assigned"
"torgnon","12.6350418062052","20.8188791441053","11.0833372983722","Mixed","11.0833372983722","52","assigned"
"rhemes saint georges","11.1178884424079","16.9011193934381","15.1492061317271","Prophet","11.1178884424079","53","assigned"
"roisan","14.4340845894607","16.2062649816394","11.3098402620771","Mixed","11.3098402620771","54","assigned"
"issime","13.3943884507049","11.8466284645173","11.4117334155654","Mixed","11.4117334155654","55","assigned"
"verres","58.158030970097","11.5402527823593","19.2898171045825","GAMM","11.5402527823593","56","assigned"
"morgex","20.9527270017068","14.437890194649","12.0148314779154","Mixed","12.0148314779154","57","assigned"
"emarese","15.4237170776665","15.6822079815075","13.8530670756133","Mixed","13.8530670756133","58","assigned"
"lillianes","19.6365921929439","15.6132983158327","14.773439465454","Mixed","14.773439465454","59","assigned"
"valsavarenche","15.3135474518224","20.7660399763498","20.2800273762427","Prophet","15.3135474518224","60","assigned"
"bard","43.8348842550634","15.4235762397065","17.2828230754323","GAMM","15.4235762397065","61","assigned"
"gaby","15.7099340166347","54.7791966932327","55.2639898588014","Prophet","15.7099340166347","62","assigned"
"gressoney saint jean","15.8427568189538","19.2179131088768","15.943933992088","Prophet","15.8427568189538","63","assigned"
