"comune_key","Best_Model","Best_MAPE_pct","Second_Best_MAPE_pct","Worst_MAPE_pct","Spread_MAPE_pct","Mean_MAPE_pct","Std_MAPE_pct","anomaly_flag"
"aymavilles","Mixed","7.43368716420393","8.75998717791779","12.514695480479","5.08100831627502","9.56945660753356","2.1518351773352","normal"
"challand saint anselme","Prophet","7.34941503952495","9.43012124104298","10.3711446075191","3.02172956799417","9.05022696269568","1.26252449284844","normal"
"introd","Mixed","7.34481399178904","7.58279051988832","11.2152432320084","3.87042924021939","8.71428258122859","1.77111289674851","normal"
"saint nicolas","Prophet","7.31097829100312","8.21688535201767","8.89605481394226","1.58507652293914","8.14130615232102","0.649307866097073","normal"
"pontboset","GAMM","7.14049521891987","8.80500791917488","13.9791128686358","6.83861764971592","9.97487200224351","2.91182752687403","normal"
"champorcher","Prophet","6.95359418610106","8.0537294089264","9.71894152334916","2.7653473372481","8.2420883727922","1.13677784354368","normal"
"ayas","Prophet","6.21374786190572","7.37946423491999","7.88174401608839","1.66799615418267","7.1583187043047","0.69868056691423","normal"
"pollein","GAMM","6.20652094240684","6.61294223731012","8.95300326087866","2.74648231847182","7.25748881353187","1.21033645407905","normal"
"verrayes","GAMM","5.99400359080978","7.32013067776407","11.6676478147808","5.67364422397105","8.32726069445156","2.42326128016697","normal"
"pre saint didier","Prophet","5.46965784168496","5.87725230447521","9.51333134139477","4.04367349970981","6.95341382918498","1.8177672318008","normal"
"saint pierre","GAMM","5.12160065911628","6.06972783269657","6.24489668646369","1.12329602734741","5.81207505942551","0.493448548445407","normal"
"gressan","GAMM","5.01115097623702","9.70105386668674","11.0188986442473","6.00774766801033","8.5770344957237","2.57821936878226","normal"
"arnad","Mixed","4.94841272136586","8.37957617571763","25.7417656784151","20.7933529570492","13.0232515251662","9.10178269580246","normal"
"aosta","Mixed","4.87262510368684","5.29829900116212","9.37193249863201","4.49930739494517","6.51428553449366","2.02812050849793","normal"
"saint christophe","GAMM","4.37473454379933","6.78682951425175","10.2308511221317","5.85611657833234","7.13080506006091","2.40309033355535","normal"
"brissogne","Mixed","3.73920100991421","5.43481358323472","6.44958091339255","2.71037990347834","5.20786516884716","1.11808437141079","normal"
"saint vincent","Mixed","3.52103336155104","9.85978997640729","11.3520797255858","7.83104636403479","8.24430102118139","3.39496442909773","normal"
"valtournenche","Mixed","2.41010750709604","9.44906954367457","14.1129373508102","11.7028298437142","8.65737146719362","4.81034620867422","normal"
"allein","Prophet","80.8967824248561","451.577331136551","580.057306882255","499.160524457398","370.843806814554","211.626611049169","high_best_mape;high_model_disagreement"
