comune_key,n_obs,MAE_kwh,RMSE_kwh,Bias_kwh,MAPE_pct,model,best_RMSE_kwh,delta_from_best_RMSE,underperform_flag
pontboset,9,1232.9332512224748,2173.596640635245,750.4669191526658,7.140495218919867,GAMM,2173.596640635245,0,ok
pontboset,9,1736.1997271768334,2380.9332724836154,-499.08457659197603,8.805007919174876,Mixed,2173.596640635245,207.33663184837042,ok
pontboset,9,2592.9556119832096,3591.1398771473964,2592.9556119832096,13.979112868635788,Prophet,2173.596640635245,1417.5432365121515,high_gap
pontey,9,12259.824987839245,14151.138309944827,-5635.217087955379,10.40536649200661,Prophet,14151.138309944827,0,ok
pontey,9,20035.253391836417,23145.06353301635,-20035.253391836417,16.98305579784673,GAMM,14151.138309944827,8993.925223071523,ok
pontey,9,20925.828724640425,23781.027659711737,-20925.828724640425,17.724747628924682,Mixed,14151.138309944827,9629.88934976691,high_gap
pre saint didier,9,13446.191588960362,19013.099254442153,427.78454368750357,5.877252304475206,GAMM,19013.099254442153,0,ok
pre saint didier,9,11120.966684705632,22203.005543741663,7727.07116041693,5.469657841684957,Prophet,19013.099254442153,3189.90628929951,ok
pre saint didier,9,24603.898846928365,26893.851599483984,-15790.556343826562,9.51333134139477,Mixed,19013.099254442153,7880.75234504183,high_gap
quart,9,41658.35709049703,64319.10963291139,19776.747311105028,8.266190961956768,Mixed,64319.10963291139,0,ok
quart,9,45682.6534762054,70989.40515826335,39304.27745739697,9.192729698457198,GAMM,64319.10963291139,6670.295525351961,ok
quart,9,58016.85477276417,85127.46752501183,58016.85477276417,11.388192023991527,Prophet,64319.10963291139,20808.357892100437,high_gap
rhemes notre dame,9,13777.261689612646,14280.252922079637,6750.525810347065,23.089686322392467,Mixed,14280.252922079637,0,ok
rhemes notre dame,9,13582.590037492824,14894.679611157662,10156.068607494373,22.016935860191094,GAMM,14280.252922079637,614.4266890780254,ok
rhemes notre dame,9,23097.219868033,26430.647916098387,-20703.223849780876,30.079555166290646,Prophet,14280.252922079637,12150.39499401875,high_gap
rhemes saint georges,9,5423.942997838144,7158.131921090153,-1004.7291493331998,11.117888442407915,Prophet,7158.131921090153,0,ok
rhemes saint georges,9,6937.4495739596005,8898.90763390874,3380.2517098322037,15.149206131727077,Mixed,7158.131921090153,1740.7757128185876,ok
rhemes saint georges,9,8110.289098165839,9804.444868498585,6667.732216734372,16.90111939343813,GAMM,7158.131921090153,2646.3129474084326,high_gap
roisan,9,8891.386171219956,15059.161073894094,1702.0244817993896,11.30984026207707,Mixed,15059.161073894094,0,ok
roisan,9,10540.294191678284,16725.924033658423,8120.339784171059,14.4340845894607,Prophet,15059.161073894094,1666.7629597643281,ok
roisan,9,11944.964707430301,17936.279653540394,9998.798889218671,16.20626498163943,GAMM,15059.161073894094,2877.1185796462996,high_gap
saint christophe,9,14354.354930753083,16692.05807949534,-10315.63976905852,4.374734543799328,GAMM,16692.05807949534,0,ok
saint christophe,9,22658.645876063027,27734.787426754116,2809.2336191610343,6.786829514251746,Prophet,16692.05807949534,11042.729347258777,ok
saint christophe,9,34269.1940732287,39248.93708887691,-34269.1940732287,10.230851122131671,Mixed,16692.05807949534,22556.879009381573,high_gap
saint denis,8,18110.71002114591,19783.95735276108,14372.642396934483,56.98953990615463,Prophet,19783.95735276108,0,ok
saint denis,8,22268.377204032586,36400.58001617792,22268.377204032586,52.63634876409318,GAMM,19783.95735276108,16616.622663416838,ok
saint denis,8,19392.603709918538,43409.95774289183,19205.674707638052,39.9327926919195,Mixed,19783.95735276108,23626.000390130746,high_gap
saint marcel,9,26549.721432253387,32747.67365269638,-12417.37153555116,9.541061815043298,GAMM,32747.67365269638,0,ok
saint marcel,9,34879.570333200885,38204.18141598898,-21953.124976959793,11.666067435576245,Mixed,32747.67365269638,5456.507763292597,ok
saint marcel,9,37452.37527802278,40281.46589347983,-29167.465096387576,11.939719761757276,Prophet,32747.67365269638,7533.7922407834485,high_gap
saint nicolas,9,4170.931319593785,5951.480967993731,-706.8230669657044,7.310978291003117,Prophet,5951.480967993731,0,ok
saint nicolas,9,4267.816690484153,6152.298110281147,3425.7680631697494,8.21688535201767,GAMM,5951.480967993731,200.81714228741657,ok
saint nicolas,9,5091.901602090565,6261.3680106466245,396.4551609047307,8.89605481394226,Mixed,5951.480967993731,309.8870426528938,high_gap
