year_month,year,month,month_label,parameter,mean_value,median_value,sd_value,n_stations_with_data
2021-11-01,2021,11,Nov,precipitazione,1.9754961294862774,1.9666666666666668,0.9376043364746635,7
2021-11-01,2021,11,Nov,pressione,866.4466666666667,849.6283333333333,57.5591809454505,4
2021-11-01,2021,11,Nov,temperatura,3.491781609195402,3.77,2.8976754714098294,8
2021-11-01,2021,11,Nov,umidit_relativa,72.12146141215106,72.02333333333333,3.28645083295642,7
2021-12-01,2021,12,Dec,precipitazione,1.921283495477044,1.935483870967742,0.8819814634250969,7
2021-12-01,2021,12,Dec,pressione,866.7298387096774,849.5258064516129,58.25279977015178,4
2021-12-01,2021,12,Dec,temperatura,0.9709677419354841,0.5322580645161291,2.198054466316995,8
2021-12-01,2021,12,Dec,umidit_relativa,63.71950296247531,61.84838709677419,5.923298412206668,7
2022-01-01,2022,1,Jan,precipitazione,0.2359447004608295,0.25806451612903236,0.13951291029202187,7
2022-01-01,2022,1,Jan,pressione,872.8862903225806,855.7161290322581,58.34117884162012,4
2022-01-01,2022,1,Jan,temperatura,2.080241935483871,2.243548387096774,2.223548870121977,8
2022-01-01,2022,1,Jan,umidit_relativa,48.03087557603687,46.70322580645161,6.5058451418598,7
2022-02-01,2022,2,Feb,precipitazione,0.17346938775510204,0.07857142857142856,0.1981081563030164,7
2022-02-01,2022,2,Feb,pressione,871.0035714285714,854.0821428571428,58.05844089814858,4
2022-02-01,2022,2,Feb,temperatura,3.5611607142857142,4.223214285714286,3.186624994231824,8
2022-02-01,2022,2,Feb,umidit_relativa,46.539795918367346,47.26428571428571,3.9736774361257776,7
2022-03-01,2022,3,Mar,precipitazione,0.6458064516129033,0.6333333333333335,0.20822672494885652,7
2022-03-01,2022,3,Mar,pressione,872.4540322580646,855.2193548387097,58.462681805505504,4
2022-03-01,2022,3,Mar,temperatura,3.6076344086021503,3.8611827956989244,3.559892434375956,8
2022-03-01,2022,3,Mar,umidit_relativa,55.23282642089094,55.23548387096774,4.220466619349535,7
2022-04-01,2022,4,Apr,precipitazione,1.796584564860427,1.6466666666666665,0.8521090482275616,7
2022-04-01,2022,4,Apr,pressione,864.1899999999999,847.51,56.87668304388076,4
2022-04-01,2022,4,Apr,temperatura,7.615,7.993333333333333,4.031460013601752,8
2022-04-01,2022,4,Apr,umidit_relativa,55.94571428571429,57.03333333333333,5.041111251053942,7
2022-05-01,2022,5,May,precipitazione,1.6774193548387097,1.4258064516129034,0.7162258967716696,7
2022-05-01,2022,5,May,pressione,870.508064516129,853.7677419354839,56.16188758460275,4
2022-05-01,2022,5,May,temperatura,14.483467741935485,14.909677419354837,3.9123085994556672,8
2022-05-01,2022,5,May,umidit_relativa,63.855760368663596,64.97096774193548,4.763173023715664,7
2022-06-01,2022,6,Jun,precipitazione,3.0247619047619048,2.606666666666667,0.9847106308225919,7
2022-06-01,2022,6,Jun,pressione,870.8483333333332,854.3633333333332,55.27066367398673,4
2022-06-01,2022,6,Jun,temperatura,18.197916666666668,18.80166666666667,4.0303948120835305,8
2022-06-01,2022,6,Jun,umidit_relativa,59.13,59.946666666666665,4.917812672467454,7
2022-07-01,2022,7,Jul,precipitazione,0.6516129032258065,0.5806451612903225,0.31801063907141275,7
2022-07-01,2022,7,Jul,pressione,873.2370967741936,857.2274193548387,54.45448703748331,4
2022-07-01,2022,7,Jul,temperatura,20.95725806451613,21.703225806451613,4.058745720996726,8
2022-07-01,2022,7,Jul,umidit_relativa,51.354838709677416,51.770967741935486,4.473077439846651,7
2022-08-01,2022,8,Aug,precipitazione,1.8661751152073733,2.032258064516129,0.5978245748447374,7
2022-08-01,2022,8,Aug,pressione,870.3598924731182,854.2681720430107,54.62496218021536,4
2022-08-01,2022,8,Aug,temperatura,19.038870967741936,19.59258064516129,4.069991655971656,8
2022-08-01,2022,8,Aug,umidit_relativa,58.6594777265745,59.15161290322581,4.3954595198452715,7
2022-09-01,2022,9,Sep,precipitazione,1.2980952380952382,1.06,0.7926767991662856,7
2022-09-01,2022,9,Sep,pressione,867.3791666666667,850.9866666666667,55.676697391345044,4
2022-09-01,2022,9,Sep,temperatura,13.605416666666667,14.045000000000002,4.086599446934155,8
2022-09-01,2022,9,Sep,umidit_relativa,60.38333333333333,61.086666666666666,4.815237004282074,7
2022-10-01,2022,10,Oct,precipitazione,2.617511520737327,2.451612903225806,1.0955129641748609,7
2022-10-01,2022,10,Oct,pressione,875.1709677419354,858.3467741935483,56.5720533317955,4
2022-10-01,2022,10,Oct,temperatura,11.998790322580646,12.245161290322581,3.1003679883919935,8
2022-10-01,2022,10,Oct,umidit_relativa,71.85714285714286,73.5741935483871,3.550675501284836,7
2022-11-01,2022,11,Nov,precipitazione,1.6304761904761906,1.4733333333333336,0.7965374803937088,7
2022-11-01,2022,11,Nov,pressione,868.4783333333334,851.0866666666667,58.49038860581507,4
2022-11-01,2022,11,Nov,temperatura,4.41,4.711666666666667,3.180786066367872,8
2022-11-01,2022,11,Nov,umidit_relativa,66.33783251231527,66.39,3.408255444079745,7
2022-12-01,2022,12,Dec,precipitazione,2.5137411939191696,2.4482758620689653,0.6639941428417278,7
2022-12-01,2022,12,Dec,pressione,866.3814794215796,848.9508898776419,58.984292211390645,4
2022-12-01,2022,12,Dec,temperatura,-0.07581015943641084,-0.45517241379310347,2.339690730922189,8
2022-12-01,2022,12,Dec,umidit_relativa,74.38874262407967,74.23548387096774,4.261772806856064,7
2023-01-01,2023,1,Jan,precipitazione,0.8299539170506912,0.7533333333333333,0.5207110636257496,7
2023-01-01,2023,1,Jan,pressione,867.2016129032259,850.0129032258064,58.397423342727436,4
2023-01-01,2023,1,Jan,temperatura,0.1971774193548388,0.6225806451612903,3.0368337069844498,8
2023-01-01,2023,1,Jan,umidit_relativa,60.68611367127496,61.36129032258064,3.0878468715325345,7
2023-02-01,2023,2,Feb,precipitazione,0.08571428571428573,0.07142857142857144,0.07715167498104596,7
2023-02-01,2023,2,Feb,pressione,874.2044642857143,856.9785714285714,58.32353175974747,4
