"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error","implausible"
"nnetar_share","torgnon","Torgnon",9,14102,13670.6482882792,134.337481055424,162.897198474505,-47.9279679689722,0.130322559649276,1,-0.030587981259449,FALSE
"nnetar_share","sarre","Sarre",9,26239,27040.1370602914,298.825748345724,472.189035053563,89.0152289212679,0.123919371109287,1,0.0305323015469877,FALSE
"nnetar_share","gressoney la trinite","Gressoney-La-Trinité",9,60507,62230.6022678403,593.531196888669,842.796236183482,191.511363093369,0.148579040369866,1,0.0284859977827412,FALSE
"nnetar_share","verres","Verrès",9,1870,1915.87092758033,23.4422598555088,40.2857069179683,5.09676973114808,0.113324475080156,1,0.0245299077969694,FALSE
"nnetar_share","emarese","Emarèse",9,403,393.461823439808,2.86616561514635,3.56313744470953,-1.0597973955769,0.115235379114911,1,-0.0236679319111466,FALSE
"nnetar_share","la salle","La Salle",9,20341,19863.773516204,202.159286762796,272.629102046557,-53.0251648662196,0.11269703512847,1,-0.0234613088735056,FALSE
"nnetar_share","rhemes notre dame","Rhêmes-Notre-Dame",9,8492,8299.39052451698,93.3244817981935,125.489611596957,-21.4010528314461,0.129318150695857,1,-0.0226812853842458,FALSE
"nnetar_share","saint denis","Saint-Denis",9,401,391.9363304116,3.42978701239389,4.27555805263641,-1.00707439871109,0.114096496701532,1,-0.0226026673027428,FALSE
"nnetar_share","challand saint anselme","Challand-Saint-Anselme",9,4865,4974.31841700874,56.8897271542786,88.5992920730972,12.1464907787489,0.119294903474643,1,0.0224703837633588,FALSE
"nnetar_share","la thuile","La Thuile",9,63799,62371.6163640959,724.785807064751,873.445843348115,-158.598181767122,0.145860789628333,1,-0.022373134937916,FALSE
"nnetar_share","antey saint andre","Antey-Saint-André",9,16799,16432.6674227693,154.494366163949,200.262822267729,-40.7036196923025,0.110139858621218,1,-0.0218068085737676,FALSE
"nnetar_share","pontboset","Pontboset",9,1991,2034.38197423395,22.912855592041,31.3700335962137,4.82021935932761,0.125831285815961,1,0.0217890377870158,FALSE
"nnetar_share","pre saint didier","Pré-Saint-Didier",9,46900,45888.0903009769,526.216427974612,693.785737741731,-112.434411002562,0.115423396026182,1,-0.02157589976595,FALSE
"nnetar_share","arnad","Arnad",9,3474,3543.98232321281,41.4124164942687,67.695868077832,7.77581369031195,0.113228470752785,1,0.0201445950526216,FALSE
"nnetar_share","donnas","Donnas",9,2348,2394.29220627485,26.5926977362506,36.6274027899889,5.14357847498364,0.126741328612945,1,0.0197155904066665,FALSE
"nnetar_share","nus","Nus",9,13998,13732.2457110381,145.144335629326,202.69916242077,-29.5282543291,0.106628322457861,1,-0.0189851613774753,FALSE
"nnetar_share","oyace","Oyace",9,65,63.7837710329747,0.781913112191131,1.2548593724576,-0.135136551891701,0.132238020216604,0.666666666666667,-0.0187112148773124,FALSE
"nnetar_share","avise","Avise",9,916,932.990331154859,11.5295021263698,19.7064652222663,1.88781457276215,0.121432436495566,1,0.0185483964572701,FALSE
"nnetar_share","saint pierre","Saint-Pierre",9,8448,8293.9292495018,83.6934187542496,120.857958558234,-17.1189722775776,0.104975684256949,1,-0.0182375414888966,FALSE
"nnetar_share","cogne","Cogne",9,62861,63879.6876737586,728.932984309013,1141.41916616024,113.187519306511,0.11897949451924,1,0.0162054003874994,FALSE
"nnetar_share","pont saint martin","Pont-Saint-Martin",9,6102,6198.18547168566,79.3874977167068,129.638966339346,10.6872746317398,0.112659398566774,1,0.0157629419347194,FALSE
"nnetar_share","saint nicolas","Saint-Nicolas",9,3251,3199.98095713349,35.1397322596541,48.8010419710769,-5.66878254072331,0.114424514191448,1,-0.0156933383163672,FALSE
"nnetar_share","saint vincent","Saint-Vincent",9,59218,60080.8658932869,712.726152810904,1093.40963860347,95.8739881429904,0.113401601841183,1,0.0145710070128494,FALSE
"nnetar_share","chambave","Chambave",9,1334,1316.0028844637,14.1209236874779,19.3749345999711,-1.99967950403283,0.110572758344895,1,-0.0134910911066683,FALSE
"nnetar_share","gressoney saint jean","Gressoney-Saint-Jean",9,29157,28768.8476472606,305.105151370099,418.866554430704,-43.1280391932667,0.120321917499381,1,-0.0133124928058237,FALSE
"nnetar_share","aymavilles","Aymavilles",9,5712,5637.06195438026,55.8840123565556,72.6912443687756,-8.32644951330437,0.119154632881152,1,-0.0131194057457527,FALSE
"nnetar_share","jovencan","Jovençan",9,5539,5472.58874334727,57.8966632014194,87.2941236696331,-7.37902851697044,0.10290177249478,1,-0.0119897556693868,FALSE
"nnetar_share","brissogne","Brissogne",9,365,360.629839539179,4.23116428179157,6.28730145431745,-0.485573384535719,0.113116114213888,1,-0.011973042358415,FALSE
"nnetar_share","issime","Issime",9,851,861.117601012655,11.3828323701623,18.8579861792408,1.12417789029502,0.113439686496662,1,0.0118890728703351,FALSE
"nnetar_share","montjovet","Montjovet",9,4725,4673.23231566912,51.3400859973389,72.2859186694216,-5.75196492565365,0.112810335316214,1,-0.0109561236679117,FALSE
"nnetar_share","saint marcel","Saint-Marcel",9,1071,1059.68123609765,10.3456735046928,13.3437321718082,-1.25764043359494,0.11136124518533,1,-0.0105684070049995,FALSE
"nnetar_share","chamois","Chamois",9,3080,3109.9194428973,33.7636901445188,46.2344156537699,3.3243825441444,0.160668045567676,1,0.0097141048367856,FALSE
"nnetar_share","gaby","Gaby",9,5410,5361.29048593527,46.7453789747314,70.6989826453506,-5.41216822941453,0.113423025463884,1,-0.00900360703599458,FALSE
"nnetar_share","saint christophe","Saint-Christophe",9,7085,7021.64873676801,75.0334003394337,113.582673595833,-7.0390292479991,0.103160243245096,1,-0.00894160384361209,FALSE
"nnetar_share","arvier","Arvier",9,8747,8820.85230907854,88.6151829434194,106.491461059047,8.20581211983737,0.137618926778832,1,0.00844315869195571,FALSE
"nnetar_share","hone","Hône",9,1030,1038.4727483991,10.7998831199013,14.5008278496565,0.941416488788742,0.120155802425612,1,0.00822596931951329,FALSE
