"comune_key","comune_nome","date","q05","q50","q95","scale_factor"
"challand saint victor","Challand-Saint-Victor",2025-02-01,154.301275632471,601.057320606268,2316.54353036545,3.01425863985616
"challand saint victor","Challand-Saint-Victor",2025-03-01,166.925788227761,651.133717704601,2510.43038535749,3.57762181342539
"challand saint victor","Challand-Saint-Victor",2025-04-01,106.494718698747,413.99534381285,1594.75850932639,1.78501399459999
"challand saint victor","Challand-Saint-Victor",2025-05-01,87.1209857685062,338.001042563369,1301.34845011872,1.22103135018847
"challand saint victor","Challand-Saint-Victor",2025-06-01,209.382094235699,808.085034956334,3107.02793702441,1.43827193394973
"challand saint victor","Challand-Saint-Victor",2025-07-01,375.546901968608,1446.3365276266,5558.03206490179,1.50863863080624
"challand saint victor","Challand-Saint-Victor",2025-08-01,342.623538402551,1319.57307329475,5070.93463536719,1.38823215487078
"challand saint victor","Challand-Saint-Victor",2025-09-01,129.202575982878,500.911891445007,1928.22823531609,1.6868662838857
"chambave","Chambave",2025-01-01,162.096288590159,628.365720012149,2418.78084396104,2.09046510739047
"chambave","Chambave",2025-02-01,228.012841805836,884.100329632763,3403.39257072297,3.01425863985616
"chambave","Chambave",2025-03-01,273.110923294784,1058.87108788295,4076.08986241157,3.57762181342539
"chambave","Chambave",2025-04-01,169.731128020039,656.815087083981,2527.15534139012,1.78501399459999
"chambave","Chambave",2025-05-01,142.558390789852,550.873604420994,2118.75192660504,1.22103135018847
"chambave","Chambave",2025-06-01,319.72554204172,1231.78979548087,4734.00015568076,1.43827193394973
"chambave","Chambave",2025-07-01,598.647604662292,2303.01475988431,8847.56717063308,1.50863863080624
"chambave","Chambave",2025-08-01,566.513962555555,2179.28373519332,8372.11388400263,1.38823215487078
"chambave","Chambave",2025-09-01,227.619374538806,878.819840606037,3379.34654168874,1.6868662838857
"chamois","Chamois",2025-01-01,190.738730520879,738.349042451267,2841.10276902614,2.09046510739047
"chamois","Chamois",2025-02-01,170.308524492375,662.523113815535,2552.56433368461,3.01425863985616
"chamois","Chamois",2025-03-01,126.967832524397,497.700266158781,1921.2655084546,3.57762181342539
"chamois","Chamois",2025-04-01,31.4311094053193,125.760661716543,487.974106801886,1.78501399459999
"chamois","Chamois",2025-05-01,18.5832210891047,74.8247711328861,290.785147273396,1.22103135018847
"chamois","Chamois",2025-06-01,57.6239371569325,225.353075051102,869.411563502265,1.43827193394973
"chamois","Chamois",2025-07-01,138.771292913417,537.148399762914,2066.86565993821,1.50863863080624
"chamois","Chamois",2025-08-01,135.798412070712,525.390977617051,2021.37672003413,1.38823215487078
"chamois","Chamois",2025-09-01,69.4013878460675,271.282959212137,1046.48243458425,1.6868662838857
"champdepraz","Champdepraz",2025-01-01,126.503442681213,491.693733119476,1893.97785268082,2.09046510739047
"champdepraz","Champdepraz",2025-02-01,134.530158149553,525.138752127889,2025.02591408573,3.01425863985616
"champdepraz","Champdepraz",2025-03-01,103.726970527257,408.458321460867,1578.58782746129,3.57762181342539
"champdepraz","Champdepraz",2025-04-01,63.3408293265952,248.289914757623,958.470804605705,1.78501399459999
"champdepraz","Champdepraz",2025-05-01,42.1677926078523,165.386516538846,638.530694588281,1.22103135018847
"champdepraz","Champdepraz",2025-06-01,127.907670846766,495.233644708236,1905.71851611646,1.43827193394973
"champdepraz","Champdepraz",2025-07-01,236.179336616481,911.182858998995,3503.11025922923,1.50863863080624
"champdepraz","Champdepraz",2025-08-01,207.279226239135,799.86818357289,3075.33416953678,1.38823215487078
"champdepraz","Champdepraz",2025-09-01,94.3733989134408,367.172295457258,1414.68525095825,1.6868662838857
"champorcher","Champorcher",2025-01-01,199.654718162658,772.585297378163,2972.56561963924,2.09046510739047
"champorcher","Champorcher",2025-02-01,158.554709488005,617.389963903173,2379.25879669475,3.01425863985616
"champorcher","Champorcher",2025-03-01,93.8445559126867,370.511110267761,1432.87537827796,3.57762181342539
"champorcher","Champorcher",2025-04-01,40.6626838442168,161.208729677711,624.090164847742,1.78501399459999
"champorcher","Champorcher",2025-05-01,25.2894163641533,100.575705325557,389.665448934528,1.22103135018847
"champorcher","Champorcher",2025-06-01,90.701279006403,352.365847316075,1357.1244030602,1.43827193394973
"champorcher","Champorcher",2025-07-01,214.127571283563,826.506893771295,3177.96535681456,1.50863863080624
"champorcher","Champorcher",2025-08-01,193.927424400085,748.598968107274,2878.46692374138,1.38823215487078
"champorcher","Champorcher",2025-09-01,86.038315304145,335.166637895813,1291.7876096199,1.6868662838857
"charvensod","Charvensod",2025-01-01,750.390336271303,2887.33980091038,11092.9530853498,2.09046510739047
"charvensod","Charvensod",2025-02-01,609.280913273104,2348.12107693331,9025.04544157048,3.01425863985616
"charvensod","Charvensod",2025-03-01,461.840002791692,1783.56667264325,6858.82844181364,3.57762181342539
"charvensod","Charvensod",2025-04-01,246.764100952405,952.611874276814,3662.97726261368,1.78501399459999
"charvensod","Charvensod",2025-05-01,199.077171802532,767.898512109349,2952.09988127115,1.22103135018847
"charvensod","Charvensod",2025-06-01,515.044263051579,1981.78876285884,7613.90049580038,1.43827193394973
"charvensod","Charvensod",2025-07-01,924.773832062414,3555.29786167985,13656.1744989809,1.50863863080624
"charvensod","Charvensod",2025-08-01,813.994266107002,3129.57652407864,12021.1169426226,1.38823215487078
"charvensod","Charvensod",2025-09-01,358.118417154207,1379.91951348596,5303.50534874139,1.6868662838857
"chatillon","Châtillon",2025-01-01,1372.92666021647,5277.79985358798,20272.0146816828,2.09046510739047
"chatillon","Châtillon",2025-02-01,1281.78301898516,4930.4433563122,18940.8335081611,3.01425863985616
"chatillon","Châtillon",2025-03-01,1165.29189862888,4484.73219712635,17230.9594060392,3.57762181342539
"chatillon","Châtillon",2025-04-01,664.511869568654,2556.71000407576,9822.50940936278,1.78501399459999
"chatillon","Châtillon",2025-05-01,508.191439992798,1954.85786114581,7509.87233387714,1.22103135018847
"chatillon","Châtillon",2025-06-01,1079.45064579945,4149.03725831191,15935.8581926216,1.43827193394973
"chatillon","Châtillon",2025-07-01,1965.8725043126,7552.98392622663,29006.778910117,1.50863863080624
"chatillon","Châtillon",2025-08-01,1850.60591850438,7110.03300490294,27305.5619506384,1.38823215487078
"chatillon","Châtillon",2025-09-01,745.457696817817,2867.25292561684,11014.6758780047,1.6868662838857
"cogne","Cogne",2025-01-01,794.209245792335,3055.5988224854,11739.046259526,2.09046510739047
"cogne","Cogne",2025-02-01,425.595944825789,1642.79423501022,6316.68036334747,3.01425863985616
"cogne","Cogne",2025-03-01,218.025224704022,847.349033843484,3263.87216363166,3.57762181342539
"cogne","Cogne",2025-04-01,83.3626699932487,325.171228271029,1253.68523898041,1.78501399459999
"cogne","Cogne",2025-05-01,59.5158676993948,232.000911397573,894.321471315883,1.22103135018847
"cogne","Cogne",2025-06-01,198.214852961824,765.204253326375,2942.37120685257,1.43827193394973
"cogne","Cogne",2025-07-01,284.649314792775,1097.30139076646,4217.78167379607,1.50863863080624
"cogne","Cogne",2025-08-01,264.285580073165,1018.76530868435,3915.87120022578,1.38823215487078
"cogne","Cogne",2025-09-01,152.218814128437,589.291309213276,2267.59392295196,1.6868662838857
"courmayeur","Courmayeur",2025-01-01,2669.98522774214,10258.3392573039,39396.6505100309,2.09046510739047
"courmayeur","Courmayeur",2025-02-01,1197.08853919882,4605.2273603547,17692.045578966,3.01425863985616
"courmayeur","Courmayeur",2025-03-01,578.738885433692,2232.44346651041,8582.45805673062,3.57762181342539
"courmayeur","Courmayeur",2025-04-01,212.556762309061,821.260058503041,3158.60304961349,1.78501399459999
"courmayeur","Courmayeur",2025-05-01,114.898021588803,444.661315958218,1710.91029085159,1.22103135018847
"courmayeur","Courmayeur",2025-06-01,379.632058078963,1461.8231734123,5617.29897629063,1.43827193394973
"courmayeur","Courmayeur",2025-07-01,766.172768128718,2946.29001255864,11317.6620634887,1.50863863080624
"courmayeur","Courmayeur",2025-08-01,676.904547592858,2603.1694966716,9999.78112322689,1.38823215487078
"courmayeur","Courmayeur",2025-09-01,383.227749578125,1476.33614621897,5673.73291634956,1.6868662838857
"donnas","Donnas",2025-01-01,160.799837778279,623.387514312567,2399.6651692588,2.09046510739047
"donnas","Donnas",2025-02-01,226.790181341289,879.405469451808,3385.36490665936,3.01425863985616
"donnas","Donnas",2025-03-01,233.928719803896,908.416425852486,3498.363157175,3.57762181342539
"donnas","Donnas",2025-04-01,136.720664579275,530.059119375226,2040.4285985616,1.78501399459999
"donnas","Donnas",2025-05-01,115.306564513511,446.230068661883,1716.93410107181,1.22103135018847
"donnas","Donnas",2025-06-01,292.818724785272,1128.47105033741,4337.26935707765,1.43827193394973
"donnas","Donnas",2025-07-01,617.51588729594,2375.46655773689,9125.77283004537,1.50863863080624
"donnas","Donnas",2025-08-01,585.37006782342,2251.68877351505,8650.13999278262,1.38823215487078
"donnas","Donnas",2025-09-01,268.291709502779,1034.99641736281,3979.04466939814,1.6868662838857
"doues","Doues",2025-01-01,127.261324135618,494.603901204032,1905.15252680847,2.09046510739047
"doues","Doues",2025-02-01,138.666565053692,541.022026863251,2086.01566247498,3.01425863985616
"doues","Doues",2025-03-01,127.008852234418,497.857776611433,1921.87032849555,3.57762181342539
"doues","Doues",2025-04-01,73.1435776144918,285.931217421168,1103.00860406731,1.78501399459999
"doues","Doues",2025-05-01,58.5423253340239,228.262632931732,879.966958985184,1.22103135018847
"doues","Doues",2025-06-01,168.581072092862,651.414315852309,2505.43236575067,1.43827193394973
"doues","Doues",2025-07-01,331.299023161267,1276.43031872563,4905.61390156352,1.50863863080624
"doues","Doues",2025-08-01,291.433861499367,1123.01124543053,4316.16229628019,1.38823215487078
"doues","Doues",2025-09-01,136.593334895638,529.291462660965,2037.20216775098,1.6868662838857
"emarese","Emarèse",2025-01-01,102.718419710863,400.362279715566,1543.27672486316,2.09046510739047
"emarese","Emarèse",2025-02-01,152.38993239617,593.718006452876,2288.36150046147,3.01425863985616
"emarese","Emarèse",2025-03-01,174.921941046339,681.837924274882,2628.3306209458,3.57762181342539
"emarese","Emarèse",2025-04-01,89.0507217714336,347.012621343717,1337.55340157085,1.78501399459999
"emarese","Emarèse",2025-05-01,78.2242825977982,303.838837544822,1170.16994170542,1.22103135018847
"emarese","Emarèse",2025-06-01,169.666675533862,655.582894550357,2521.43917606975,1.43827193394973
"emarese","Emarèse",2025-07-01,373.675709294044,1439.15138650734,5530.4420397775,1.50863863080624
"emarese","Emarèse",2025-08-01,434.205041929007,1671.23436167835,6421.26911324447,1.38823215487078
"emarese","Emarèse",2025-09-01,147.084246130832,569.575223237366,2191.88666843885,1.6868662838857
"etroubles","Etroubles",2025-01-01,239.847703925829,926.921234365453,3565.19592548655,2.09046510739047
"etroubles","Etroubles",2025-02-01,176.228482949503,685.254998945697,2639.85187215521,3.01425863985616
"etroubles","Etroubles",2025-03-01,108.817691593511,428.006040814953,1653.648575629,3.57762181342539
"etroubles","Etroubles",2025-04-01,50.8805898259494,200.444184914375,774.749306787426,1.78501399459999
"etroubles","Etroubles",2025-05-01,42.8499088323808,168.005755807786,648.588239184436,1.22103135018847
"etroubles","Etroubles",2025-06-01,137.542243105969,532.229172879678,2047.77662392469,1.43827193394973
"etroubles","Etroubles",2025-07-01,257.185635755728,991.844367437159,3812.84015978862,1.50863863080624
"etroubles","Etroubles",2025-08-01,216.938413353569,836.958229647738,3217.75521403426,1.38823215487078
"etroubles","Etroubles",2025-09-01,116.180204331363,450.907645866542,1736.21831248606,1.6868662838857
"fenis","Fénis",2025-01-01,288.441309796197,1113.51448070413,4281.6901834366,2.09046510739047
"fenis","Fénis",2025-02-01,244.870370023179,948.831087084906,3651.95042014823,3.01425863985616
"fenis","Fénis",2025-03-01,179.435846328186,699.170744614496,2694.88643950352,3.57762181342539
"fenis","Fénis",2025-04-01,99.6985972466806,387.899104574382,1494.5522803479,1.78501399459999
"fenis","Fénis",2025-05-01,77.7598142814812,302.055338473066,1163.32153283187,1.22103135018847
"fenis","Fénis",2025-06-01,215.327354129092,830.914074373471,3194.68853556079,1.43827193394973
"fenis","Fénis",2025-07-01,395.188590939636,1521.75810713349,5847.64130694332,1.50863863080624
"fenis","Fénis",2025-08-01,336.748633936376,1297.01418974127,4984.31140087728,1.38823215487078
"fenis","Fénis",2025-09-01,145.766853070369,564.516601975309,2172.46220823717,1.6868662838857
"fontainemore","Fontainemore",2025-01-01,108.448073889066,422.363420696148,1627.7582990372,2.09046510739047
"fontainemore","Fontainemore",2025-02-01,125.567714162088,490.724110761059,1892.87808230414,3.01425863985616
"fontainemore","Fontainemore",2025-03-01,109.270785558368,429.745863828392,1660.32927401138,3.57762181342539
"fontainemore","Fontainemore",2025-04-01,58.5791722681711,230.005759207343,888.261980222729,1.78501399459999
"fontainemore","Fontainemore",2025-05-01,45.8600700384686,179.564390763691,692.971922614299,1.22103135018847
"fontainemore","Fontainemore",2025-06-01,142.169791481167,549.998368197699,2116.0080667211,1.43827193394973
"fontainemore","Fontainemore",2025-07-01,348.306313826358,1341.73614486849,5156.37994138638,1.50863863080624
"fontainemore","Fontainemore",2025-08-01,368.843374728427,1420.25389931876,5457.53616113165,1.38823215487078
"fontainemore","Fontainemore",2025-09-01,154.042453942716,596.29385341645,2294.48279921658,1.6868662838857
"gaby","Gaby",2025-01-01,336.875115672669,1299.4941154556,4995.82825118433,2.09046510739047
"gaby","Gaby",2025-02-01,317.404966713692,1227.3546834703,4721.44549260932,3.01425863985616
"gaby","Gaby",2025-03-01,263.47719132475,1021.87878631469,3934.04414434789,3.57762181342539
"gaby","Gaby",2025-04-01,127.47932937354,494.573571314807,1904.16862171682,1.78501399459999
"gaby","Gaby",2025-05-01,79.5662340664981,308.991759961027,1189.95650630687,1.22103135018847
"gaby","Gaby",2025-06-01,226.171786215346,872.555309911157,3354.58556689569,1.43827193394973
"gaby","Gaby",2025-07-01,487.414030362062,1875.89202719591,7207.47037497679,1.50863863080624
"gaby","Gaby",2025-08-01,460.342019384331,1771.59702021165,6806.64891644053,1.38823215487078
"gaby","Gaby",2025-09-01,194.017982959909,749.794784245139,2883.9067879558,1.6868662838857
"gignod","Gignod",2025-01-01,318.509453631197,1228.97231654611,4725.03354145916,2.09046510739047
"gignod","Gignod",2025-02-01,289.550574916389,1120.39737299384,4310.74306738287,3.01425863985616
"gignod","Gignod",2025-03-01,236.807660200424,919.471189642538,3540.81203961842,3.57762181342539
"gignod","Gignod",2025-04-01,116.416292271329,452.092920408314,1741.04834246921,1.78501399459999
"gignod","Gignod",2025-05-01,103.010090923505,399.013179020106,1535.62726939158,1.22103135018847
"gignod","Gignod",2025-06-01,286.043063500487,1102.45337553073,4237.36480549294,1.43827193394973
"gignod","Gignod",2025-07-01,581.919121170397,2238.77951771268,8600.91203666072,1.50863863080624
"gignod","Gignod",2025-08-01,558.687219958439,2149.2300422579,8256.71153777119,1.38823215487078
"gignod","Gignod",2025-09-01,221.438781720559,855.087152784297,3288.21604857789,1.6868662838857
"gressan","Gressan",2025-01-01,1510.33659480652,5805.4364698692,22298.0719654685,2.09046510739047
"gressan","Gressan",2025-02-01,1121.44797942919,4314.77726204462,16576.7542608522,3.01425863985616
"gressan","Gressan",2025-03-01,783.600926841239,3019.0875665547,11603.0710306268,3.57762181342539
"gressan","Gressan",2025-04-01,305.602973848122,1178.54563876856,4530.53409069713,1.78501399459999
"gressan","Gressan",2025-05-01,173.101208041152,668.154125616568,2569.09416382351,1.22103135018847
"gressan","Gressan",2025-06-01,461.234392787753,1775.16572680806,6820.49440101665,1.43827193394973
"gressan","Gressan",2025-07-01,1026.60960765098,3946.33424640872,15157.7043228377,1.50863863080624
"gressan","Gressan",2025-08-01,951.619009479424,3658.03797867604,14050.3415002988,1.38823215487078
"gressan","Gressan",2025-09-01,302.998898966717,1168.26759651021,4490.78899285573,1.6868662838857
"gressoney la trinite","Gressoney-La-Trinité",2025-01-01,1024.46214636368,3939.74058202299,15134.0378058584,2.09046510739047
"gressoney la trinite","Gressoney-La-Trinité",2025-02-01,698.134461868579,2689.30736644987,10335.1572603348,3.01425863985616
