"comune_key","comune_nome","date","bagged_mean","q05","q50","q95"
"aymavilles","Aymavilles",2025-04-01,290.442019060062,195.989971331363,272.713823223128,431.256091438124
"aymavilles","Aymavilles",2025-05-01,366.474494924907,280.272171749694,335.833293989873,534.505565340093
"aymavilles","Aymavilles",2025-06-01,515.005371230962,414.114188749599,502.384928044366,626.905486737512
"aymavilles","Aymavilles",2025-07-01,1086.23032320584,730.379493397008,1012.35059842403,1718.57940787708
"aymavilles","Aymavilles",2025-08-01,1632.35647019392,1056.77470767123,1546.08508153732,2571.65064799369
"aymavilles","Aymavilles",2025-09-01,536.602737129893,322.762295640755,529.539023212943,859.504330903929
"bard","Bard",2025-01-01,541.868299210045,351.461949865745,528.609281361119,737.433164298236
"bard","Bard",2025-02-01,633.038746028986,405.872484084267,592.338910423391,955.33070059101
"bard","Bard",2025-03-01,427.021556933963,282.623453460885,397.155713934118,679.900199455263
"bard","Bard",2025-04-01,559.773735926025,377.734732774682,525.60588911452,831.167040590132
"bard","Bard",2025-05-01,703.199733527777,537.792722874264,644.404688767836,1025.62163621587
"bard","Bard",2025-06-01,755.875734957388,607.797285743273,737.352652865341,920.112045441221
"bard","Bard",2025-07-01,1139.84309031286,766.428630345853,1062.31690456044,1803.40285239067
"bard","Bard",2025-08-01,1599.03103943055,1035.20008656608,1514.52092733458,2519.14902400276
"bard","Bard",2025-09-01,871.20099154113,524.020495121423,859.732703844118,1395.44764404759
"bionaz","Bionaz",2025-01-01,123.578734113498,80.1545743066881,120.554876390602,168.179347398881
"bionaz","Bionaz",2025-02-01,147.734221117852,94.7197240066118,138.235973892805,222.948496987138
"bionaz","Bionaz",2025-03-01,375.0146299372,248.202761875082,348.786145968459,597.095199417237
"bionaz","Bionaz",2025-04-01,645.031444949102,435.266545841148,605.659580595436,957.75997117659
"bionaz","Bionaz",2025-05-01,296.12243503858,226.468360339992,271.363421358112,431.89660328917
"bionaz","Bionaz",2025-06-01,1071.63403658638,861.697536545509,1045.37315227126,1304.47815661593
"bionaz","Bionaz",2025-07-01,3059.45645284301,2057.17351684928,2851.36817185038,4840.51931420467
"bionaz","Bionaz",2025-08-01,3151.04351811708,2039.96072764788,2984.50826372314,4964.22396283297
"bionaz","Bionaz",2025-09-01,1019.29732258325,613.099265085949,1005.87952914904,1632.66118977513
"brissogne","Brissogne",2025-01-01,40.7671191718657,26.4420177660164,39.7695853402371,55.4803182508722
"brissogne","Brissogne",2025-02-01,42.4501845494597,27.2169151746296,39.7209431824375,64.0623734332939
"brissogne","Brissogne",2025-03-01,27.6407805499923,18.2940011541417,25.7075872512125,44.0094227185471
"brissogne","Brissogne",2025-04-01,24.1699038716658,16.3098259068017,22.694604978677,35.8881208299763
"brissogne","Brissogne",2025-05-01,20.4461919542483,15.6368279440634,18.7366708696916,29.8209112527651
"brissogne","Brissogne",2025-06-01,39.319684947344,31.6168341991076,38.3561380064515,47.8630468869921
"brissogne","Brissogne",2025-07-01,67.1232087036641,45.1335357896039,62.5578379166813,106.198990954603
"brissogne","Brissogne",2025-08-01,63.2975858697369,40.9783579905432,59.9522561385761,99.7204230145927
"brissogne","Brissogne",2025-09-01,53.8429925148176,32.3861334759532,53.1342158552139,86.2431032365592
"brusson","Brusson",2025-01-01,2465.55146738298,1599.18476036345,2405.22169544183,3355.38990375151
"brusson","Brusson",2025-02-01,3583.98008794978,2297.86709001556,3353.55596097762,5408.65188711295
"brusson","Brusson",2025-03-01,1808.79566956687,1197.1481777374,1682.28868974609,2879.94954011775
"brusson","Brusson",2025-04-01,823.212282127006,555.502788803893,772.964495666404,1222.32765204864
"brusson","Brusson",2025-05-01,1008.88175490943,771.572058636842,924.528412453211,1471.46096177761
"brusson","Brusson",2025-06-01,2862.97596219844,2302.10990841047,2792.8174211542,3485.04198084354
"brusson","Brusson",2025-07-01,4774.1161264549,3210.10787801202,4449.40563185379,7553.36827784772
"brusson","Brusson",2025-08-01,5129.91180690631,3321.0644544317,4858.79172783737,8081.77702803719
