comune_key,nn_mae,nn_mape,gbm_mae,gbm_mape,best_model
gressan,349381.9589603863,0.3172484886302758,170414.73408212053,0.1452983029740529,QGBRT
gressoney la trinite,216420.67339211967,0.3663040165642879,88612.96058033363,0.1739651048010918,QGBRT
gressoney saint jean,96028.5869599199,0.30759399473621235,30835.221847655874,0.11373119393032256,QGBRT
hone,24451.416666666668,0.18320586687951002,11454.102428863109,0.09681188441652089,QGBRT
introd,16286.98671497615,0.16943484188549546,6466.727389159947,0.08286458530753651,QGBRT
issime,7574.908325837172,0.12424719975323284,6405.071989848336,0.10720917304731793,QGBRT
issogne,23830.03331865268,0.11636408608764573,17135.359648995753,0.0872027581611907,QGBRT
jovencan,21976.4239713451,0.19032410259206903,8535.758955164563,0.0882068970432495,QGBRT
la magdeleine,6747.070390545985,0.41068932258210045,4439.970641908465,0.2773921887153194,QGBRT
la salle,72573.60507246466,0.1655268455863953,46932.660444278925,0.11572194047061854,QGBRT
la thuile,350548.1296071325,0.7237633639472151,178784.5151255755,0.37343219639583897,QGBRT
lillianes,6767.942707813432,0.1543555663470003,4172.314014704919,0.10917967420890314,QGBRT
montjovet,27191.39814858721,0.14330123771140335,18681.53917054682,0.10631265808975922,QGBRT
morgex,85667.79227053148,0.08565478108538484,125385.47555355543,0.130126731059355,NN
nus,44301.97607632659,0.15978432171993603,24721.374052759376,0.10695592437228267,QGBRT
ollomont,8080.758771627846,0.24368684242024743,4732.777654936898,0.15118564695950168,QGBRT
oyace,3275.223867574889,0.1377921961386355,1757.2457559583247,0.07947346004812902,QGBRT
perloz,13834.966212270498,0.1562103711034682,9071.07455379396,0.10724219237649613,QGBRT
pollein,71086.63398995501,0.17094437965844775,31702.209264374495,0.07078461064677205,QGBRT
pontboset,3087.0434781902172,0.13860635407636607,1953.5771288701292,0.10084964756084261,QGBRT
pontey,21666.228260870168,0.17143511992649332,14017.30651699362,0.11562605339297435,QGBRT
pont saint martin,469387.246367669,0.6404988149951623,361030.26775672846,0.4880173508652093,QGBRT
pre saint didier,48974.429951690814,0.17126680930269222,24633.636714380264,0.09481389816033928,QGBRT
quart,112714.66666666667,0.17164925603401376,54185.871053398936,0.09349665592225728,QGBRT
rhemes notre dame,26252.719465332473,0.29350432688516936,49425.608283707064,0.744111293027337,NN
rhemes saint georges,8586.083333333334,0.1729670315961099,5831.840714458498,0.11887841726301583,QGBRT
roisan,24817.89284076681,0.231781065161492,10854.472237529711,0.11932600271706391,QGBRT
saint christophe,34882.873188405785,0.10089381691051522,18712.86854928341,0.05900057468233275,QGBRT
saint denis,10433.057639913803,0.34615714155530436,96705.70808919551,2.1556381232044246,NN
saint marcel,50493.525362170796,0.17428994924129498,19477.41168372751,0.06982357092135683,QGBRT
saint nicolas,9169.294686120367,0.1417000250417801,4940.891004921541,0.08499850639756905,QGBRT
saint oyen,6845.577153543649,0.17871427461866538,4363.590973403233,0.113049088257569,QGBRT
saint pierre,54342.32614653637,0.12600428367946312,26498.11493103285,0.06784687124400367,QGBRT
saint rhemy en bosses,43853.81971368868,0.20427812962413988,25506.29104992614,0.12144457160426038,QGBRT
saint vincent,203176.9576977586,0.14085567926757442,84934.92239969982,0.061542560630265426,QGBRT
sarre,63157.75135210223,0.14199431702030002,38726.324194237284,0.09768582522598739,QGBRT
torgnon,130412.95688285035,0.4441001405748624,33238.27388409818,0.115838938297946,QGBRT
valgrisenche,30924.3024717428,0.5894156762851289,23876.110105884327,0.45372643524079576,QGBRT
valpelline,66810.16341682384,2.6935999828762265,41898.661261174755,1.53383675291855,QGBRT
valsavarenche,7732.761365191828,0.14635733417290095,5003.351910442235,0.10051936861206096,QGBRT
valtournenche,810004.3312298934,0.3618168206787867,342187.93555222097,0.14848710470754245,QGBRT
verrayes,28662.552538708118,0.19106008319181014,15070.314994021368,0.09499129948021004,QGBRT
verres,330106.3065968857,0.38933111875536275,118342.32206188147,0.1389853522561599,QGBRT
villeneuve,27368.494812235673,0.1314331248957337,13804.608030533547,0.07057297747139239,QGBRT
