"scenario","comune_key","comune_nome","date","mean_arrivals","q05","q25","q50","q75","q95"
"shock","champdepraz","Champdepraz",2026-03-01,596.918601078904,94.9979729328769,248.760821353452,349.359903276839,750.947110996587,1741.0773746111
"shock","champdepraz","Champdepraz",2026-04-01,394.320697545557,46.185268971802,90.559270885927,260.601216639784,497.875404891861,1252.91214172282
"shock","champdepraz","Champdepraz",2026-05-01,169.347637997385,24.3973328569217,48.8664945533989,95.3091584998117,167.28872895729,559.812661118992
"shock","champdepraz","Champdepraz",2026-06-01,174.089066403065,16.3740692197053,43.0480381521665,74.7654926840724,129.371914500073,604.293240831203
"shock","champdepraz","Champdepraz",2026-07-01,233.304084449255,52.4883473475105,74.2021635301521,134.354538640425,264.619636272591,749.795303829163
"shock","champdepraz","Champdepraz",2026-08-01,315.255402324368,56.2898374018544,135.830455058066,226.049120528831,394.074201701026,858.922686605678
"shock","champdepraz","Champdepraz",2026-09-01,347.589275769238,67.3705479211278,149.559288014468,281.134633315723,389.709133185612,914.502285451107
"shock","champorcher","Champorcher",2025-10-01,387.350599744245,68.9592813709865,164.12901814737,265.139416654069,444.206349932675,1084.43452841216
"shock","champorcher","Champorcher",2025-11-01,1021.0763126696,191.377841002374,312.264709668284,599.296860160601,1183.80947740505,3218.0673608774
"shock","champorcher","Champorcher",2025-12-01,2296.54175427179,267.856796897838,571.266288957,1426.56827701919,3077.89120284976,7188.15609196702
"shock","champorcher","Champorcher",2026-01-01,1036.75753526488,174.178790398445,362.614740006294,616.766779828637,1160.93878429559,2774.13230404336
"shock","champorcher","Champorcher",2026-02-01,953.543559975557,149.446207095711,266.137351773163,521.802771410927,1208.21092561502,2751.2406917892
"shock","champorcher","Champorcher",2026-03-01,303.768049837893,55.9743608150051,124.439821853321,197.614637119684,361.165178462686,878.45989607731
"shock","champorcher","Champorcher",2026-04-01,136.716466997169,16.7337854981437,50.018452457196,88.7200877021919,181.053065734929,405.770218958699
"shock","champorcher","Champorcher",2026-05-01,90.3537833074254,11.0034514012346,26.3366659727469,44.1053707863424,117.636503759329,282.826551183701
"shock","champorcher","Champorcher",2026-06-01,93.4362663001939,9.32641208340952,26.5952535854986,54.1727043660012,96.3134448926486,429.094146196005
"shock","champorcher","Champorcher",2026-07-01,182.228204888235,25.4902295995879,64.0915858252456,110.872246865641,195.217062469125,447.398109530251
"shock","champorcher","Champorcher",2026-08-01,373.902827094351,27.7166722700865,106.383179328019,216.692981015923,486.451572606174,1181.16017493233
"shock","champorcher","Champorcher",2026-09-01,383.464400458876,47.815402564337,96.0389887968041,206.412466797138,405.956524842898,1246.24533098618
"shock","charvensod","Charvensod",2025-10-01,2146.57218877149,519.712767938824,1019.67985730676,1671.49540236446,2569.96747545964,5481.1376617775
"shock","charvensod","Charvensod",2025-11-01,4551.22770924681,886.725370987047,1863.4636327188,3525.80431561914,5874.94987458843,13396.2223525103
"shock","charvensod","Charvensod",2025-12-01,10574.0766696678,1252.6998219495,3609.26455092477,5206.79139807536,12000.6526752667,43634.2930275696
"shock","charvensod","Charvensod",2026-01-01,6194.62751211287,547.998840155156,1647.36879450238,3721.84393199892,9622.29835472691,17941.4155521055
"shock","charvensod","Charvensod",2026-02-01,5064.69174305265,590.623820223516,1764.4550576848,2683.13328207664,6214.28865539504,15368.8784498054
"shock","charvensod","Charvensod",2026-03-01,2418.09761575374,375.522097481368,817.230149582069,1323.45114108165,2325.84661469955,6544.08360441161
"shock","charvensod","Charvensod",2026-04-01,1034.58291860445,213.52191284195,404.453979561852,685.971267366244,1364.32416072349,3319.2974581421
"shock","charvensod","Charvensod",2026-05-01,778.107729836946,118.02454100601,222.598944862815,389.754417420595,914.867102424475,2472.48656511892
"shock","charvensod","Charvensod",2026-06-01,634.673180192913,93.90640916321,228.063796827001,342.764469750509,695.763333115278,1547.55927730613
"shock","charvensod","Charvensod",2026-07-01,934.694268777048,112.783252643328,464.331248047929,693.972151237936,1194.05740488379,2727.66496605307
"shock","charvensod","Charvensod",2026-08-01,1867.04924177548,251.579704895105,506.295802136673,1074.85822854326,2246.91913449566,6998.8519700439
"shock","charvensod","Charvensod",2026-09-01,1730.29551761166,209.270247875905,410.840491362343,684.936102158455,1676.40503486703,6869.17838787043
"shock","chatillon","Châtillon",2025-10-01,4386.77416692238,935.742267889432,2097.2242676268,3060.42020781426,4451.31927708578,12145.9351580706
