"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"nnetar_share","issogne","Issogne",9,561,585.645373348628,8.06498832249974,13.7514236337654,2.73837481651427,0.112508736966509,1,0.0439311467889989
"nnetar_share","jovencan","Jovençan",9,5539,5472.58874334727,57.8966632014194,87.2941236696331,-7.37902851697044,0.10290177249478,1,-0.0119897556693868
"nnetar_share","la magdeleine","La Magdeleine",9,979,980.152921899407,9.07233918409643,11.7061219024888,0.128102433267398,0.130893992709881,1,0.00117765260409252
"nnetar_share","la salle","La Salle",9,20341,19863.773516204,202.159286762796,272.629102046557,-53.0251648662196,0.11269703512847,1,-0.0234613088735056
"nnetar_share","la thuile","La Thuile",9,63799,62371.6163640959,724.785807064751,873.445843348115,-158.598181767122,0.145860789628333,1,-0.022373134937916
"nnetar_share","lillianes","Lillianes",9,1777,1907.41220663632,23.4420545696497,35.78735274267,14.4902451818138,0.14782896064071,1,0.0733889739090176
"nnetar_share","montjovet","Montjovet",9,4725,4673.23231566912,51.3400859973389,72.2859186694216,-5.75196492565365,0.112810335316214,1,-0.0109561236679117
"nnetar_share","morgex","Morgex",9,13505,13412.7868312228,140.858209391542,214.072538474639,-10.2459076419137,0.110969256085149,1,-0.00682807617750637
"nnetar_share","nus","Nus",9,13998,13732.2457110381,145.144335629326,202.69916242077,-29.5282543291,0.106628322457861,1,-0.0189851613774753
"nnetar_share","ollomont","Ollomont",9,861,984.890899283346,16.0808450300524,28.4745908396237,13.7656554759273,0.194147250721549,0.888888888888889,0.143891869086348
"nnetar_share","oyace","Oyace",9,65,63.7837710329747,0.781913112191131,1.2548593724576,-0.135136551891701,0.132238020216604,0.666666666666667,-0.0187112148773124
"nnetar_share","perloz","Perloz",9,884,890.624834333203,11.0263862932578,15.888727280663,0.736092703689197,0.116875941631281,1,0.00749415648552351
"nnetar_share","pollein","Pollein",9,28775,28670.7271133189,347.690141117773,565.201137861582,-11.5858762979015,0.103464573700014,1,-0.00362373194373978
"nnetar_share","pont saint martin","Pont-Saint-Martin",9,6102,6198.18547168566,79.3874977167068,129.638966339346,10.6872746317398,0.112659398566774,1,0.0157629419347194
"nnetar_share","pontboset","Pontboset",9,1991,2034.38197423395,22.912855592041,31.3700335962137,4.82021935932761,0.125831285815961,1,0.0217890377870158
"nnetar_share","pontey","Pontey",9,919,922.517337588491,7.86126572435171,10.2438507502069,0.39081528761007,0.109929858199073,1,0.00382735319748704
"nnetar_share","pre saint didier","Pré-Saint-Didier",9,46900,45888.0903009769,526.216427974612,693.785737741731,-112.434411002562,0.115423396026182,1,-0.02157589976595
"nnetar_share","quart","Quart",9,7286,7234.58962526754,81.7368974552195,124.21056806016,-5.71226385916221,0.109451031074671,1,-0.00705604923585778
"nnetar_share","rhemes notre dame","Rhêmes-Notre-Dame",9,8492,8299.39052451698,93.3244817981935,125.489611596957,-21.4010528314461,0.129318150695857,1,-0.0226812853842458
"nnetar_share","rhemes saint georges","Rhêmes-Saint-Georges",9,4726,5011.82578357666,48.0080934181829,75.9425154286695,31.7584203974064,0.170417939361253,1,0.0604794294491447
"nnetar_share","roisan","Roisan",9,1305,1375.05599939345,18.8737281192472,29.3852581752872,7.78399993260544,0.13166276297548,1,0.0536827581558996
"nnetar_share","saint christophe","Saint-Christophe",9,7085,7021.64873676801,75.0334003394337,113.582673595833,-7.0390292479991,0.103160243245096,1,-0.00894160384361209
"nnetar_share","saint denis","Saint-Denis",9,401,391.9363304116,3.42978701239389,4.27555805263641,-1.00707439871109,0.114096496701532,1,-0.0226026673027428
"nnetar_share","saint marcel","Saint-Marcel",9,1071,1059.68123609765,10.3456735046928,13.3437321718082,-1.25764043359494,0.11136124518533,1,-0.0105684070049995
"nnetar_share","saint nicolas","Saint-Nicolas",9,3251,3199.98095713349,35.1397322596541,48.8010419710769,-5.66878254072331,0.114424514191448,1,-0.0156933383163672
"nnetar_share","saint oyen","Saint-Oyen",9,3658,3670.69813449611,42.4791060956356,51.6090445943041,1.4109038329008,0.140318862102956,1,0.00347133255771112
"nnetar_share","saint pierre","Saint-Pierre",9,8448,8293.9292495018,83.6934187542496,120.857958558234,-17.1189722775776,0.104975684256949,1,-0.0182375414888966
"nnetar_share","saint rhemy en bosses","Saint-Rhémy-en-Bosses",9,6294,6582.87976912956,82.272324576431,127.289707992418,32.0977521255067,0.142464359261078,1,0.0458976436494376
"nnetar_share","saint vincent","Saint-Vincent",9,59218,60080.8658932869,712.726152810904,1093.40963860347,95.8739881429904,0.113401601841183,1,0.0145710070128494
"nnetar_share","sarre","Sarre",9,26239,27040.1370602914,298.825748345724,472.189035053563,89.0152289212679,0.123919371109287,1,0.0305323015469877
"nnetar_share","torgnon","Torgnon",9,14102,13670.6482882792,134.337481055424,162.897198474505,-47.9279679689722,0.130322559649276,1,-0.030587981259449
"nnetar_share","valgrisenche","Valgrisenche",9,10192,10718.6507053283,119.853670470895,185.902683177129,58.5167450364763,0.149591590605707,1,0.0516729498948475
"nnetar_share","valpelline","Valpelline",9,4900,5133.09856907853,53.8496558253689,80.9143425062682,25.899841008726,0.143640495360831,1,0.0475711365466395
"nnetar_share","valsavarenche","Valsavarenche",9,25334,29430.6806084071,520.810088614646,782.705589737418,455.18673426746,0.204979350445011,0.888888888888889,0.161706821204987
"nnetar_share","valtournenche","Valtournenche",9,135375,129118.990751681,1474.89130114327,1678.60785410493,-695.112138702098,0.132739649762535,1,-0.0462124413541561
"nnetar_share","verrayes","Verrayes",9,3739,3725.96774336754,36.7351085802963,50.4769690207233,-1.44802851471776,0.106141032124077,1,-0.00348549254679322
"nnetar_share","verres","Verrès",9,1870,1915.87092758033,23.4422598555088,40.2857069179683,5.09676973114808,0.113324475080156,1,0.0245299077969694
"nnetar_share","villeneuve","Villeneuve",9,2581,2563.57196576808,24.8832478254816,29.6289982212025,-1.93644824799091,0.117738798199741,1,-0.00675243480508252
"reconciled","allein","Allein",9,221,3005.73112285286,309.414569205874,408.050139470419,309.414569205874,21.7129374161179,0,12.6005933160763
"reconciled","antey saint andre","Antey-Saint-André",9,16799,78118.3777300663,6813.26419222959,7620.54967626138,6813.26419222959,3.71720504275323,0.222222222222222,3.65018023275589
"reconciled","aosta","Aosta",9,121478,188495.920896653,8139.10081455978,9962.19119899461,7446.43565518366,0.577177977591966,1,0.551687720382727
"reconciled","arnad","Arnad",9,3474,17911.066839759,1604.118537751,1924.74179646491,1604.118537751,4.33362368283962,0.222222222222222,4.15574750712694
"reconciled","arvier","Arvier",9,8747,7451.70706786938,303.767960982569,442.4782806097,-143.921436903402,0.282108566179533,1,-0.148084249700539
"reconciled","avise","Avise",9,916,2300.77188411274,153.863542679194,178.455792162826,153.863542679194,1.48638311255106,1,1.51175969881304
"reconciled","ayas","Ayas",9,66587,19897.4469551459,5187.7281160949,6053.35248246323,-5187.7281160949,0.704483150912594,0.333333333333333,-0.701181207215435
"reconciled","aymavilles","Aymavilles",9,5712,5887.00702982234,166.698903205314,208.697791263467,19.4452255358159,0.27493846551682,1,0.0306384856131554
"reconciled","bard","Bard",9,6889,62221.382590525,6148.04251005833,7003.46410145349,6148.04251005833,8.14886544778794,0,8.03199050522935
"reconciled","bionaz","Bionaz",9,8769,3595.87374315496,691.68477628374,1005.14715682711,-574.791806316115,0.867432689205582,0.888888888888889,-0.589933431046304
"reconciled","brissogne","Brissogne",9,365,3841.54648695828,386.282942995365,445.853321181997,386.282942995365,9.01549116813891,0,9.52478489577612
"reconciled","brusson","Brusson",9,24069,16461.6410441099,961.380207619353,1202.36232051526,-845.262106210014,0.331127070726239,1,-0.316064604091991
"reconciled","challand saint anselme","Challand-Saint-Anselme",9,4865,13553.105827379,965.345091930999,1125.53626373989,965.345091930999,1.77966911326274,0.888888888888889,1.78583881343864
"reconciled","challand saint victor","Challand-Saint-Victor",9,341,6497.09939274501,684.011043638335,775.195075517815,684.011043638335,26.8665227568234,0,18.0530773980792
