comune_key,variable,n_obs,x_sd,x_q10,x_q50,x_q90,pearson_r,spearman_rho,linear_adj_r2,quad_adj_r2,delta_adj_r2_quad,quad_term_p,aic_gain_quad,loess_r2,loess_gain_over_linear,sign_changes_binned,nonlinear_score,nonlinear_flag
donnas,HDD,57,6.176534574444146,0,9.45627583746764,15.64696397027649,0.27642930741432986,0.2543106284076005,0.059620674033885934,0.19705967538800961,0.13743900135412368,0.0021270405176192584,8.052068284169792,0.2601743215918675,0.20055364755798155,1,35.79926489121053,likely_nonlinear
doues,lag12,57,0.32020288341251685,8.376869430057813,8.8771028978649,9.233059472766985,0.29207056511101837,0.31034482758620696,0.06867440073162023,0.17779765703714623,0.109123256305526,0.005676716643251001,6.149378999987142,0.30449603825317206,0.23582163752155183,2,37.29448938270779,likely_nonlinear
doues,temp,57,6.18163617577975,0.08194121250586751,5.8833503034399,15.63921890420798,-0.032568287383733664,-0.04232564169043299,-0.017101839505197614,-0.03592984022811985,-0.018828000722922233,0.984595137715241,-1.9996028161373474,0.009596640260540523,0.026698479765738137,3,5.069847976573814,mostly_linear_or_weak
emarese,temp,57,6.85951864881953,2.0267257157980043,9.2055800010816,19.489396777371102,-0.17165375255870907,-0.24189784806844702,0.01181892005416818,0.23775286804416107,0.2259339479899929,1.149433952729921e-4,13.842823712712175,0.287076628829419,0.2752577087752508,1,52.11916567652437,likely_nonlinear
emarese,HDD,57,6.331812510020253,0,8.7944199989184,15.973274284201995,0.21671043038932494,0.24913969375731357,0.029635472651154737,0.20119380245333796,0.17155832980218322,7.373437004087798e-4,10.135447110033923,0.2803642514784568,0.25072877882730205,1,44.228710862948525,likely_nonlinear
etroubles,HDD,57,5.737600692838838,5.358071905211021,15.12611445301035,19.71023051094909,-0.17346550980388273,-0.1364402385273529,0.012455560965912604,0.15033520346492368,0.13787964249901108,0.0026579286506822355,7.617537113918516,0.23825167895716093,0.22579611799124832,2,39.167576049025946,likely_nonlinear
etroubles,temp,57,5.737600692838838,-1.7102305109490878,2.87388554698965,12.64192809478898,0.1734655098038827,0.1364402385273529,0.012455560965912493,0.15033520346492324,0.13787964249901075,0.0026579286506823187,7.617537113918452,0.23825167895716437,0.22579611799125188,1,38.36757604902626,likely_nonlinear
fenis,temp,57,6.304088790606463,-0.17551668451970476,5.50181643555131,15.38780012026918,-0.373666975094824,-0.3819030334456832,0.12398386297245256,0.28552397253310235,0.1615401095606498,5.645341742956147e-4,10.664499706265545,0.3396625620407242,0.21567869906827164,1,39.72188086289214,likely_nonlinear
fenis,HDD,57,6.304088790606462,2.6121998797308197,12.49818356444869,18.175516684519703,0.37366697509482405,0.3819030334456832,0.12398386297245256,0.28552397253310247,0.1615401095606499,5.645341742956177e-4,10.66449970626553,0.339662562040712,0.21567869906825943,1,39.721880862890934,likely_nonlinear
fontainemore,temp,57,6.442061596372306,0.440787087489193,6.69906794281447,16.73265262667988,-0.5026044910154119,-0.5534742027482501,0.23902238846865786,0.500758046203828,0.26173565773517016,1.2223558795019402e-6,23.072146580610877,0.5469496587167221,0.3079272702480642,1,58.96629279832344,likely_nonlinear
fontainemore,HDD,57,6.400021354387899,1.2673473733201193,11.30093205718553,17.559212912510805,0.5065143485735705,0.5530618529027412,0.243039635952924,0.5009263194917328,0.25788668353880884,1.4031362614684728e-6,22.789658547292746,0.5492069354543412,0.3061672995014172,1,58.4053983040226,likely_nonlinear
gaby,lag12,55,0.45883867680947144,11.056842610914678,11.375053235961534,11.707111268135634,0.3341036083593742,0.9064213564213564,0.09486343283797571,0.35241883036780597,0.25755539752983025,1.9562719550251705e-5,17.463943730279965,0.4728253172027329,0.3779618843647572,0,64.75172818945875,likely_nonlinear
gaby,HDD,56,6.369766417492636,2.28700005706885,11.90351124797777,18.111993307004134,0.3658880230864621,0.5226930963773069,0.1178346759091955,0.2317162529001302,0.11388157699093471,0.004099283938765975,6.787099241243588,0.27846136573440816,0.16062668982521267,1,29.450826681614735,likely_nonlinear
gignod,lag24,57,0.341522627953946,10.50744828018655,10.908375070640925,11.36121599289492,-0.050112971822911155,-0.004666839512574541,-0.015624848056077445,0.11054481328466281,0.12616966134074026,0.004476221570217461,6.606961755963302,0.4056659850866383,0.42129083314271576,2,57.546049448345606,likely_nonlinear
gignod,lag12,57,0.29427054186661405,10.50744828018655,10.87109857843334,11.261912983608163,0.14820496388952525,0.305159450350013,0.004182251527341196,0.1387199891485369,0.1345377376211957,0.0030987219057878306,7.319142532264509,0.25840276390711847,0.2542205123797773,1,40.875825000097294,likely_nonlinear
gressan,temp,57,6.4747313934658655,0.3270921115730989,6.49134966375727,16.60629145424604,-0.7363060386815617,-0.7153876069484056,0.5338219750098238,0.6790642455228839,0.14524227051306016,4.6849663092270985e-6,20.325518686655748,0.7844607119349419,0.2506387369251182,1,41.58810074381783,likely_nonlinear
